,LLM,rating:,poem
0,GPT2-large,13.842811136644636,"berlin Nicht wahr , seit alten Zeiten schon
Jahrhundert immer ist dieselbe wahrheit
Was besser wäre denn in dieser Zeit
Voranzuspielen gegen diese Schänder
Die jetzt am Werke sind es wäre doch
bisher das Allerletzte , was ich gebe
Ich will Ich will es ist Die alte Welt .
Die viele Wahrheit , die zu viel wir sagten
Des Volkes Rechte , seines Mitleids Raub 
Sie liegt gebunden bei den alten Schergen"
1,GPT2-large,26.905118976409987,"Und doch , ihr gutes Recht , man muß sie wählen
Die guten Leute müssen sich was brechen
Wenn andre sie nicht endlich haben wollen .
Was willst du , daß ich dir aus ganzem Herzen
Ein Lob auf deine gute Seele werfe ! 
In deinen Seufzern ists , als ob der Dichter"
2,GPT2-large,11.222011965511355,"Es rinnet , rinnt das Blut vom weizen
Wir wieder scheiden aber das Leben währt
Und nun ? du hast genug erfahren ,
Dein alles Sein ist wol und ewig ein Blick
In deines Wesens dunkler werkstatt
Ein Licht ist auch die Seele hell und eben
Es fließt um sie in ewgen Wellen
Ein Strom , der keine Mauer drum bewahrt .
O Leben flammen , Licht und Leben ,"
3,GPT2-large,211.36677772780956,"Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist immer auch ein Etwas
Ein Nichts ist immer auch ein Etwas
Oh Gott , wie soll ich das erfassen
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas . . .
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas ,
Ein Nichts ist niemals auch kein Etwas .
Ein Nichts ist niemals auch kein allein
Oh Gott , wie soll ich das erfassen
Ich mag das schier nicht glauben wollen"
4,GPT2-large,18.15367843909279,"Denn ihrem Wahn verfallen allzu lose
Was will die sonne Unter Gottes Sonne ?
Was will die sonne Unter Gottes heide
Ich will mich mal von diesem Gartenbeete
Zur grüne Wiese längs des Grabens wenden
Und um zu wissen , ob ich sie gefunden .
Von meinem lieben Fenster aus gemessen
Vom lichten Mond betrachtet ich die Gegend ;
Der Weg von hier bis hin zur grünen gegend
hinaus Ich hab ihn mondwärts nie betreten"
5,GPT2,12.889027432647575,"In ein Bild zerfließt die blüte
Auf dem Felde , auf der Heide ,
Wo das Herz der Jugend noch steht
Da Mit ihrem hellen Glanze sich
Einst von ihrem Geist entzückt war
In des Herzens Tiefen sucht ihr ,
In dem sie der Liebe herzen , 
Von Es war , als säh die wüste"
6,GPT2-large,96.16384948866734,"Doch in dem dunkeln Zauberkreise 
Wer wagte , kühn zu irren dort ? 
Soll nie der Blick sich klaren Weiten , 
Ein neuer Stern am Himmel steh ? 
Der Blick sich klaren Weiten wagen , 
Wer wagte , kühn zu irren hier . 
Was du begreifst , ist doch das Rechte 
Doch in dem schwülen , fahlen Licht 
Soll nie der Blick sich reinen Weiten 
Ein neuer Stern am Himmel steh ?"
7,GPT2-large,43.60016725283886,"Ein weiser alter Mann ! Die Zeiten , 
Sie alle gehen auch an dir vorüber , 
An jedem Jahr hat sich das Wesen 
Das andre sich zum Guten dir erneut . 
Und an der Sonne goldnem Lichte 
Verjüng es sich , wie sich das All bewährt ! 
Die Sonnenglut erhellt das Dunkel , 
Der goldne Tag erquickt die Brust der Nacht 
Vergiß die Welt , vergiß die Sorgen , 
Auf daß sich Herz und Geist der Liebe freun"
8,GPT2-large,9.584196838718423,"O , Sie nennen mir die Sense eben
Meine Sense ist Ihr er hold
So ein Vieh von einem Weibe ist ?
Das wär doch ein lustig Leben ;
auf Das wäre gar zu sehr dumm
Das ist doch kein Leben hier drin
Wohnt , wofern Sie leben noch fort ?
o , ich kenn das kleine wesen ,
mutter ists Sie , die den kleinen hält 
das ist doch ein seltnes schicksal"
9,GPT2-large,33.1523098640212,"Nicht wirklich wußten , wo er sich begeben
Es lebten andre in der Menschen tagen
Der Tag war ihnen nichts , die Nächte Schrecken ,
Die Felder schwiegen in den Sommertagen
Und in den Herbst und Winter , wo die flammen
Verbrach und wo die Tiere auf die heide
Verbrannt und auf entlegne Haine trabten ;
Und da in seinem kalten Busen lohte
Gewaltig warm ein stilles UrVertrauen , 
Zuweilen schien der Traum ihn seines Traumes"
