Unnamed: 0,LLM,rating:,poem,close_text,semantic_dist
0,GPT2-large,13.842811136644634,"berlin Nicht wahr , seit alten Zeiten schon
Jahrhundert immer ist dieselbe wahrheit
Was besser wäre denn in dieser Zeit
Voranzuspielen gegen diese Schänder
Die jetzt am Werke sind es wäre doch
bisher das Allerletzte , was ich gebe
Ich will Ich will es ist Die alte Welt .
Die viele Wahrheit , die zu viel wir sagten
Des Volkes Rechte , seines Mitleids Raub 
Sie liegt gebunden bei den alten Schergen","Und wir? Wir sollten unsern Nacken beugen,
        Den Hohn ertragen und mit Zittern schweigen?
        Brennt in den Adern uns kein Feuer mehr
        Des edeln Zorns ob tief gekränkter Ehr'?
 Des Zorns, der in der Väter Brust gelodert,
        Wenn sie vom Erbfeind Rechenschaft gefordert;
        Des Zorns, der auf der Trift am Schornathurm
        Die Dränger niederwarf wie Donnersturm?
        Hat er nun ausgeflammt? So hör' ich fragen;
        Ward in des Friedens langem Wohlbehagen
        Das Volk entnervt und feig und matt,
        Daß es kein Herz mehr für die Ehre hat?
        O dann sei unser Wappenschild zertrümmert,
        Das einst im Glanz des höchsten Ruhms geschimmert!
        Dann sei zerbrochen unser altes Schwert,
        Das oft vom Lande Unbill abgewehrt!
        Dann geh' zerrissen ewiglich zu nichte,
        Die Heldenchronik unserer Geschichte!
        Und, nicht zu überleben deine Schand',
        Versink' in Abgrund, armes Vaterland!",5.584351539611816
1,GPT2-large,26.905118976409987,"Und doch , ihr gutes Recht , man muß sie wählen
Die guten Leute müssen sich was brechen
Wenn andre sie nicht endlich haben wollen .
Was willst du , daß ich dir aus ganzem Herzen
Ein Lob auf deine gute Seele werfe ! 
In deinen Seufzern ists , als ob der Dichter","Daß deine Brüste hocherbaulich sind,
        hat auch der Theologe tief empfunden
        und will dich nun in keuscher Liebe retten.
        Du gutes Kind! Welch Seelenzwist für dich!
        Ich kenne das, auch ich war einmal fromm
        und hab ein schönes Mädchen retten wollen.
        Du armes Kind! Heut bin ich lasterhaft,
        und mich entzückt dein junger, weißer Leib
        weit mehr, als deine Tugend je vermöchte.
        So geh zu ihm und laß dich retten! – Nein?
        Mich hast du lieb, der dich nicht anders will,
        als dich die gütige Natur geschaffen? Wie?
        – O Kind: du bist so lasterhaft, wie ich!
        In sündigen Gluten schlingst du deine Arme
        um mich, dein Mündchen spottet zügellos
        des reinen Jünglings, der dich retten möchte –
        dem deine Brüste hocherbaulich sind.",4.701237678527832
2,GPT2-large,11.222011965511355,"Es rinnet , rinnt das Blut vom weizen
Wir wieder scheiden aber das Leben währt
Und nun ? du hast genug erfahren ,
Dein alles Sein ist wol und ewig ein Blick
In deines Wesens dunkler werkstatt
Ein Licht ist auch die Seele hell und eben
Es fließt um sie in ewgen Wellen
Ein Strom , der keine Mauer drum bewahrt .
O Leben flammen , Licht und Leben ,","Welten schweigen aus mir raus
        Welten Welten
        Schwarz und fahl und licht!
        Licht im Licht!
        Glühen Flackern Lodern
        Weben Schweben Leben
        Nahen Schreiten
        Schreiten
        All die weh verklungenen Wünsche
        All die harb zerrungenen Tränen
        All die barsch verlachten Ängste
        All die kalt erstickten Gluten
        Durch den Siedstrom meines Blutes
        Durch das Brennen meiner Sehnen
        Durch die Lohe der Gedanken
        Stürmen stürmen
        Bogen bahnen
        Regen wegen
        Dir
        Den Weg
        Den Weg
        Den Weg
        Zu mir!
        Dir
        Den Weg
        Den ichumbrausten
        Dir
        Den Weg
        Den duumträumten
        Dir
        Den Weg
        Den flammzerrissenen
        Dir
        Den Weg
        Den unbegangenen
        Nie
        Gefundenen Weg
        Zu
        Mir!",4.978330135345459
3,GPT2-large,211.3667777278096,"Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist immer auch ein Etwas
Ein Nichts ist immer auch ein Etwas
Oh Gott , wie soll ich das erfassen
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas . . .
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas
Ein Nichts ist niemals auch kein Etwas ,
Ein Nichts ist niemals auch kein Etwas .
Ein Nichts ist niemals auch kein allein
Oh Gott , wie soll ich das erfassen
Ich mag das schier nicht glauben wollen","Der Stückwahn und die Unio –
       Als wären wir 
      doch nicht uns
       Sondern Stücken von der Welt,
       Von Gott, oder Gott als die Welt
       Wäre nur das einzig Wirkliche,
       Wie können wir ein Etwas sein
       Eines, den wir nicht sind?
       Aber wir alle, alle wären dieser Eine –
       Ja. Aber dann wäre keiner sich.
       Also wäre auch nie, nie, nie
       Der, den wir alle, alle zu sein hofften.
       Die Mystik ahnte dies –
       »Ohne mich ist Gott ein Nichts«.
       Ich saget ohne mich
       Ist Allerseelen je und je
       In ratlosester Verlassenheit,
       So ich, wenn Allerseelen
       Nicht wäre reziprok mit mir.
       Ganz tief ertastet ihr,
       Erahnt, erfahrt ihr,
       Daß alle echte Frömmigkeit
       Durchschwimmen wollte
       Ihr horizontloses Meer.
       Geduld – Geduld –
       Du 
      mußt herauftauchen,
       Aber aus der Tiefe heben 
      
 Ein dem Wachsein näheres
       Erkennen und erweiteten
       Horizont: die Mühe und die Möglichkeit.
       GUETE »weiß«,
       Daß nie das Böse »wirklich« ist –
       Der Stückwahn zerbricht dann lautlos.",5.42409610748291
4,GPT2-large,18.15367843909279,"Denn ihrem Wahn verfallen allzu lose
Was will die sonne Unter Gottes Sonne ?
Was will die sonne Unter Gottes heide
Ich will mich mal von diesem Gartenbeete
Zur grüne Wiese längs des Grabens wenden
Und um zu wissen , ob ich sie gefunden .
Von meinem lieben Fenster aus gemessen
Vom lichten Mond betrachtet ich die Gegend ;
Der Weg von hier bis hin zur grünen gegend
hinaus Ich hab ihn mondwärts nie betreten","Wie rein ist die Natur, von Menschen nicht entweiht!
        Verlornen Edens Hauch durchweht die Einsamkeit.
        Doch wird mir die Natur durch Menschen auch beseelet,
        Wo Blick und Wort von Dem, der sie erneut, erzählet,
 Da weht Sein Lebenshauch, es steht der Liebe Hoffen
        Das ew'ge Paradies erlöster Seelen offen.
        Gestalten, die ihr euch im bunten Kreise regt,
        Was ist es, daß mein Herz so warm euch Allen schlägt?
        Wir Alle suchen Heil an dieses Brunnens Rand; –
        Wie fühlt sich gleiche Noth und gleicher Wunsch verwandt!
        Welch wunderbarer Zug das Herz zu Menschen zieht,
        Indeß der scheue Blick sie fremd und ferne sieht!
        O reiches Menschenherz! dir ist die Macht geblieben,
        Die Andern ungekannt und unbemerkt zu lieben.
        Willst du des Lebens Bild in diesem Saale sehn?
        Wir kommen, schau'n uns an – oft erst zu spät – und gehn.
        Das Leben flieht, gefüllt von lockenden Gestalten,
        Bei wenigen nur darf der flücht'ge Fuß sich halten.
        Lebt wohl! mag spurlos euch mein Bild entschwunden sein:
        Das eure grub sich tief ins tiefe Herz mir ein.",5.141455173492432
5,GPT2,12.889027432647573,"In ein Bild zerfließt die blüte
Auf dem Felde , auf der Heide ,
Wo das Herz der Jugend noch steht
Da Mit ihrem hellen Glanze sich
Einst von ihrem Geist entzückt war
In des Herzens Tiefen sucht ihr ,
In dem sie der Liebe herzen , 
Von Es war , als säh die wüste","In der Jugend früh'ster Pracht
           Tritt sie einher – Donnerwetter,
           Nur von Eitelkeit erfüllt,
           Das Herz noch leer – Donnerwetter, 
          






",4.714457988739014
6,GPT2-large,96.16384948866734,"Doch in dem dunkeln Zauberkreise 
Wer wagte , kühn zu irren dort ? 
Soll nie der Blick sich klaren Weiten , 
Ein neuer Stern am Himmel steh ? 
Der Blick sich klaren Weiten wagen , 
Wer wagte , kühn zu irren hier . 
Was du begreifst , ist doch das Rechte 
Doch in dem schwülen , fahlen Licht 
Soll nie der Blick sich reinen Weiten 
Ein neuer Stern am Himmel steh ?","Könnt' ich ins Zukunftsdunkel
       Dir weben Stern an Stern,
       Daß rings nur Lichtgefunkel
       Dir strahlte nah und fern'.",5.223697662353516
7,GPT2-large,43.60016725283886,"Ein weiser alter Mann ! Die Zeiten , 
Sie alle gehen auch an dir vorüber , 
An jedem Jahr hat sich das Wesen 
Das andre sich zum Guten dir erneut . 
Und an der Sonne goldnem Lichte 
Verjüng es sich , wie sich das All bewährt ! 
Die Sonnenglut erhellt das Dunkel , 
Der goldne Tag erquickt die Brust der Nacht 
Vergiß die Welt , vergiß die Sorgen , 
Auf daß sich Herz und Geist der Liebe freun","Nehmt hin, Ihr Theuren, diesen Myrthenkranz!
            Der Alte, der vor fünfundzwanzig Jahren
        Die Braut geschmückt, strahlt nun in Silber-Glanz.
            Und was will diese Wandlung offenbaren?
        Nur Traum und Wahn verblühen mit der Zeit,
            Nur flücht'ge Neigung welkt gleich grünem Laube,
        Doch wahre Liebe währt in Ewigkeit,
            Und zu den Sternen dringt sie aus dem Staube.
        Nichts ist zu wünschen Euch und Eurem Glück,
            Nur dauernd soll der Himmel es Euch wahren:
        Dann schaut Ihr froh auf diesen Tag zurück
            Im goldnen Kranz nach fünfundzwanzig Jahren!",4.824581146240234
8,GPT2-large,9.584196838718423,"O , Sie nennen mir die Sense eben
Meine Sense ist Ihr er hold
So ein Vieh von einem Weibe ist ?
Das wär doch ein lustig Leben ;
auf Das wäre gar zu sehr dumm
Das ist doch kein Leben hier drin
Wohnt , wofern Sie leben noch fort ?
o , ich kenn das kleine wesen ,
mutter ists Sie , die den kleinen hält 
das ist doch ein seltnes schicksal","Ha, welch Vergehn, welch arger Frevel hat
       Befleckt vor der Geburt mich, daß so düster
       Auf mich der Himmel blickt, so streng das Auge
       Der Schicksalsgöttin? Was verbrach ich schon
       Als Kind, zur Zeit, wo doch noch jeden Fehls
       Unkundig ist das Dasein, daß so kläglich
       Beraubt der Jugendlust, so blütenlos,
       Sich jetzo drehn muß an der Parze Spindel
       Mein starrer Lebensfaden? Doch, die Lippe
       Spricht unbedacht – das menschliche Geschick
       Lenkt ein geheimer Rathschluß. Ja, geheim
       Ist Alles, nur der Schmerz nicht. Ausgestoßen,
       Zum Leid geboren sind wir, und der Grund,
       Er ruht im Götterschooß. O Sorg', o Hoffnung
       Der Jugendzeit! Der Schönheitsblüte nur,
       Ja, süßer Schönheitsblüte nur verlieh
       Der Himmel Obmacht über Menschenherzen;
       Für Heldenthum und Liedesklang in armer,
       Bescheidner Hülle blüht kein Ruhmeskranz!",5.329490661621094
9,GPT2-large,33.1523098640212,"Nicht wirklich wußten , wo er sich begeben
Es lebten andre in der Menschen tagen
Der Tag war ihnen nichts , die Nächte Schrecken ,
Die Felder schwiegen in den Sommertagen
Und in den Herbst und Winter , wo die flammen
Verbrach und wo die Tiere auf die heide
Verbrannt und auf entlegne Haine trabten ;
Und da in seinem kalten Busen lohte
Gewaltig warm ein stilles UrVertrauen , 
Zuweilen schien der Traum ihn seines Traumes","In seine Werkstatt nah an Mitternacht
       Trat ein der Meister, wieder band die Macht
       Ihn heute, welche lodernd stets im Hirne
       Ihm saß und Furchen grub in seine Stirne,
       Doch auch der Seele lieh des Genius Schein.
       Selbst frug er sich: Was mag die Kraft wohl sein,
       Die mir den Geist mit Adlerschwung bewegt,
       Oft traut die Hand mir auf die Schultern legt
       Und mehr lockt, als der Anblick holder Frauen?
       Gespannt an ihr Gefährt muß ich mich schauen,
       Und wo sie will, dahin muß blind ich jagen! –
       O, er begriff erst recht an solchen Tagen
       Das große Ringen Jakobs mit dem Engel,
       Des Geistes Ringen mit dem Stoff voll Mängel,
       Wie Licht mit Nacht, Tod mit dem Leben ringt.
       Und so, wie wenn ein Stachel treibt und zwingt,
       Stand rasch er auf, warf ab das stumpfe Bangen,
       Die Sorgen wischt' er von der Stirn, vergangen
       War alles Leid und, Sieger in dem Strauß,
       Glaubt' er an sich und ging nach Schönheit aus.",5.056244373321533
10,GPT2-large,27.24267475876977,"Was hilft es ? Was soll uns das Beten nützln
Wir schreiten weiter , stehn gelassen , weiter ,
Und unser aller Werk ist ausgeführt
Denn unsre Hoffnung ist zu nichts geworden ,
In Asche getreten auf des Grabes asche
Und von der Menschheit selbst verschmähter Gnade
Betrübt und unbelohnt ! Es wird zuletzt
Die eine Welt erneut den Anfang haben
Und unsre Trümmer aufgerichtn in asche
Und unsre Hoffnung ist das Licht , obs tage ,","Gestützt auf seineTreue
          Hab' ich das Werk getan,
          Und wie, nun fiele Reue
          Die schwache Seele an?
          Jetzt kehrte ich mein Sehnen
          Zur eiteln Welt zurück?
          Nun flössen meine Tränen
          Der Erde kurzem Glück?",5.307697296142578
