author;title;vers;Reimschema;
author;Amalia.;"Schön wie Engel voll Walhallas Wonne,
           Schön vor allen Jünglingen war er,
       Himmlisch mild sein Blick, wie Maiensonne,
           Rückgestrahlt vom blauen Spiegelmeer.";abab;
author;Amalia.;"Seine Küsse – paradiesisch Fühlen!
           Wie zwo Flammen sich ergreifen, wie
       Harfentöne in einander spielen
           Zu der himmelvollen Harmonie –";abab;unsicher
author;Amalia.;"Stürzten, flogen, schmolzen Geist und Geist zusammen,
           Lippen, Wangen brannten, zitterten,
       Seele rann in Seele – Erd' und Himmel schwammen
           Wie zerronnen um die Liebenden!";abab;unsicher
author;Amalia.;"Er ist hin – vergebens, ach! vergebens
           Stöhnet ihm der bange Seufzer nach!
       Er ist hin, und alle Lust des Lebens
           Wimmert hin in ein verlornes Ach!";abab;
author;Hektors Abschied.;"Will sich Hektor ewig von mir wenden,
       Wo Achill mit den unnahbarn Händen
       Dem Patroklus schrecklich Opfer bringt?
       Wer wird künftig deinen Kleinen lehren
       Speere werfen und die Götter ehren,
       Wenn der finstre Orkus dich verschlingt?";aabccb;
author;Hektors Abschied.;"Theures Weib, gebiete deinen Thränen!
       Nach der Feldschlacht ist mein feurig Sehnen,
       Diese Arme schützen Pergamus.
       Kämpfend für den heil'gen Herd der Götter
       Fall' ich, und des Vaterlandes Retter
       Steig' ich nieder zu dem styg'schen Fluß.";aabccb;
Schiller;Hektors Abschied.;"Nimmer lausch' ich deiner Waffen Schalle,
       Müßig liegt dein Eisen in der Halle,
       Priams großer Heldenstamm verdirbt.
       Du wirst hingehn, wo kein Tag mehr scheinet,
       Der Cocytus durch die Wüsten weinet,
       Deine Liebe in dem Lethe stirbt.";aabccb;
Schiller;Hektors Abschied.;"All mein Sehnen will ich, all mein Denken
       In des Lethe stillen Strom versenken,
       Aber meine Liebe nicht.
       Horch! der Wilde tobt schon an den Mauern,
       Gürte mir das Schwert um, laß das Trauern!
       Hektors Liebe stirbt im Lethe nicht.";aabccb;
Schiller;Eine Leichenphantasie.;"Mit erstorbnem Scheinen
       Steht der Mond auf todtenstillen Hainen,
           Seufzend streicht der Nachtgeist durch die Luft –
               Nebelwolken schauern,
               Sterne trauern
           Bleich herab, wie Lampen in der Gruft.
       Gleich Gespenstern, stumm und hohl und hager,
           Zieht in schwarzem Todtenpompe dort
       Ein Gewimmel nach dem Leichenlager
           Unterm Schauerflor der Grabnacht fort.";aabccbdede;
Schiller;Eine Leichenphantasie.;"Zitternd an der Krücke,
       Wer mit düsterm, rückgesunknem Blicke,
           Ausgegossen in ein heulend Ach,
       Schwer geneckt vom eisernen Geschicke,
           Schwankt dem stummgetragnen Sarge nach?
       Floß es 
      »Vater« von des Jünglings Lippe?
           Nasse Schauer schauern fürchterlich
       Durch sein gramgeschmolzenes Gerippe,
           Seine Silberhaare bäumen sich. –";aabcbcdefef;
Schiller;Eine Leichenphantasie.;"Aufgerissen seine Feuerwunde!
           Durch die Seele Höllenschmerz!
      
»Vater« floß es von des Jünglings Munde,
           
      »Sohn« gelispelt hat das Vaterherz.
       Eiskalt, eiskalt liegt er hier im Tuche,
           Und dein Traum, so golden einst, so süß!
       Süß und golden, Vater, dir zum Fluche!
           Deine Wonne und dein Paradies!";ababcdcd;
Schiller;Eine Leichenphantasie.;"Mild, wie, umweht von Elysiumslüften
           Wie, aus Auroras Umarmung geschlüpft,
       Himmlisch umgürtet mit rosigten Düften,
           Florens Sohn über das Blumenfeld hüpft,
       Flog er einher auf den lachenden Wiesen,
           Nachgespiegelt von silberner Fluth,
       Wollustflammen entsprühten den Küssen,
           Jagten die Mädchen in liebende Gluth.";ababcdcd;
Schiller;Eine Leichenphantasie.;"Muthig sprang er im Gewühle der Menschen,
           Wie auf Gebirgen ein jugendlich Reh;
       Himmelum flog er in schweifenden Wünschen,
           Hoch wie die Adler in wolkigter Höh;
       Stolz, wie die Rosse sich sträuben und schäumen,
           Werfen im Sturme die Mähnen umher,
       Königlich wider den Zügel sich bäumen,
           Trat er vor Sklaven und Fürsten daher.";ababcdcd;
Schiller;Eine Leichenphantasie.;"Heiter, wie Frühlingstag, schwand ihm das Leben,
           Floh ihm vorüber in Hesperus' Glanz,
       Klagen ertränkt' er im Golde der Reben,
           Schmerzen verhüpft' er im wirbelnden Tanz.
       Welten schliefen im herrlichen Jungen,
           Ha! wenn er einsten zum Manne gereift –
       Freue dich, Vater – im herrlichen Jungen
           Wenn einst die schlafenden Keime gereift!";ababcdcd;
Schiller;Eine Leichenphantasie.;"Nein doch, Vater – Horch! die Kirchhofthüre brauset,
           Und die ehrnen Angel klirren auf –
       Wie's hinein ins Grabgewölbe grauset! –
           Nein doch, laß den Thränen ihren Lauf!
       Geh, du Holder, geh im Pfad der Sonne
           Freudig weiter der Vollendung zu,
       Lösche nun den edeln Durst nach Wonne,
           Gramentbundner, in Walhallas Ruh!";ababcdcd;
Schiller;Eine Leichenphantasie.;"Wiedersehen – himmlischer Gedanke! –
           Wiedersehen dort an Edens Thor!
       Horch! der Sarg versinkt mit dumpfigem Geschwanke,
           Wimmernd schnurrt das Todtenseil empor!
       Da wir trunken um einander rollten,
           Lippen schwiegen und das Auge sprach –
       Haltet! haltet! – da wir boshaft grollten –
           Aber Thränen stürzten wärmer nach – –";ababcdcd ;
Schiller;Eine Leichenphantasie.;"Mit erhobnem Scheinen
       Steht der Mond auf todtenstillen Hainen,
           Seufzend streicht der Nachtgeist durch die Luft.
               Nebelwolken schauern,
               Sterne trauern
           Bleich herab, wie Lampen in der Gruft.
       Dumpfig schollert's überm Sarg zum Hügel –
           O um Erdballs Schätze nur noch einen Blick! –
       Starr und ewig schließt des Grabes Riegel,
       Dumpfer – dumpfer schollert's überm Sarg zum Hügel,
           Nimmer gibt das Grab zurück.";aabccbdedef;
Schiller;Phantasie an Laura.;"Meine Laura! nenne mir den Wirbel,
           Der an Körper Körper mächtig reißt!
       Nenne, meine Laura, mir den Zauber,
           Der zum Geist gewaltig zwingt den Geist!";abcb ;
Schiller;Phantasie an Laura.;"Sieh! er lehrt die schwebenden Planeten
           Ew'gen Ringgangs um die Sonne fliehn
       Und, gleich Kindern um die Mutter hüpfend,
           Bunte Zirkel um die Fürstin ziehn.";abcb;
Schiller;Phantasie an Laura.;"Durstig trinkt den goldnen Strahlenregen
           Jedes rollende Gestirn,
       Trinkt aus ihrem Feuerkelch Erquickung,
           Wie die Glieder Leben vom Gehirn.";abcb;
