author,rhyme_prob,lower_05,lower_06,lower_07,lower_08
GPT3_deutsch_davinci_2_04.txt,0.8197380952380949,0.05,0.14,0.32,0.48
GPT3_deutsch_davinci_2_08.txt,0.7515802563449623,0.15,0.23,0.43,0.65
GPT3_deutsch_davinci_2_09.txt,0.7951836496836495,0.1,0.17,0.32,0.51
GPT3_deutsch_davinci_3_04.txt,0.703866341991342,0.11,0.24,0.5,0.81
GPT3_deutsch_davinci_3_08.txt,0.6707166444666445,0.15,0.34,0.69,0.84
GPT3_deutsch_davinci_3_09.txt,0.7100295676545677,0.07,0.21,0.53,0.81
GPT3_goethe_davinci_2_04.txt,0.8305057997557996,0.09,0.12,0.27,0.42
GPT3_goethe_davinci_2_08.txt,0.8517420634920633,0.06,0.09,0.2,0.39
GPT3_goethe_davinci_2_09.txt,0.7968908730158727,0.1,0.13,0.3,0.53
GPT3_goethe_davinci_3_04.txt,0.6642192945942947,0.17,0.34,0.67,0.87
GPT3_goethe_davinci_3_08.txt,0.6428316291551585,0.25,0.41,0.71,0.88
GPT3_goethe_davinci_3_09.txt,0.6454172077922077,0.2,0.39,0.69,0.91
