,text,rhyme,problem,file
0,"[' o du dem glühend eisen donnernd feuer ', ' aus offnem aetnaschlunde flammt ', ' die frommen dichter zu zerschmettern ungeheuer ', ' das aus der hölle stammt ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
1,"[' wer zur verheerung blühender ge schlechter ', ' dich an das sonnenlicht gebracht ', ' hat ohne reue seine mutter seine töchter ', ' frohlockend umgebracht ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
2,"[' ganz nahe war ich schon dem styx ganz nahe ', ' dem giftgeschwollnen cerberus ', ' ich hörte schon das rad ixions rasseln sahe ', ' die brut des danaus ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
3,"[' verdammt zum spott bey bodenlosen fässern ', ' und minos antlitz und das feld ', ' elysiens den grossen ahnherrn eines grössern ', ' urenkels und sein zelt ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
4,"[' voll tapfrer brennen sah ich ihre lieder ', ' ihr fest bey jedem freudenmahl ', ' ist er der wider sechs monarchen sicht und wider ', ' satrapen ohne zahl ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
5,"[' schon säng ich seine jüngste that wie brausend ', ' ein meer von feinden ihn umfieng ', ' er aber seinen weg hindurch auf zehen tausend ', ' zertretnen schedeln gieng ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
6,"[' alcäus würde jetzt mein lied be neiden ', ' schon säh ich cäsarn lauschend nahn ', ' mit ihm den weisen antonin und den von beiden ', ' gefeyrten julian ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
7,"[' allein merkur stand neben mir und wandte ', ' durch seinen wunderbaren stab ', ' den ball der mich ins reich der nacht zu schleudern brannte ', ' von meinen schläfen ab ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
8,"[' denn ich soll noch die laute stärker schlagen ', ' wann er durch weihrauchwolken zeucht ', ' die kriegesfurie gefesselt an dem wa gen ', ' des ueberwinders keucht ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
9,"[' wann er auf einem throne von trophäen ', ' rund um sich her der künste kranz ', ' und wir im musentempel seine siege sehen ', ' versteckt in spiel und tanz ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
10,"[' wann er ein gott osir durch unsre fluren ', ' im seligsten triumphe fährt ', ' indess der ueberfluss auf jede seiner spuren ', ' ein ganzes füllhorn leert ']",abab,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
11,"[' f ind ich dich hier in deiner grünen krone ', ' zerspaltest du die purpurrothe brust ', ' an dieser sonn o liebling der pomone ', ' o proserpinens apfel die mit lust ', ' und wollust deine goldnen körner ', ' im reich des höllengottes ass ', ' und allen nektar ferner ', ' und den olymp vergass ']",ababcdcd,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
12,"[' der erdball ändert sich das meer entfliehet ', ' und macht dem pfluge raum der fels sinkt ein ', ' und o berlin dein dürrer boden blühet ', ' pomona füllt ihr horn in dir allein ', ' in dir kann flora nach begehren ', ' sich tausendfache kränze drehn ', ' und ganz verdeckt in aehren ', ' die blonde ceres gehn ']",ababcdcd,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
13,"[' und fremde bäum ihr junges haupt umschoren ', ' bringt dir sylvan und zieht ein la byrinth ', ' von büschen auf vor deinen offnen thoren ', ' die mir und diesen künsten offen sind ', ' die jetzt auf flügeln dädals eilen ', ' hoch über meer und über land ', ' bleymasse meissel feilen ', ' in ihrer harten hand ']",ababcdcd,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
14,"[' urplötzlich sind der felsen graue rücken ', ' zu tempeln und palästen ausgehöhlt ', ' die rund umher der pyrrha kinder schmücken ', ' noch halb den steinen gleich und halb beseelt ', ' ihr götter prächtig aus ruinen ', ' erhebt sich euer pantheon ', ' die weisen alle dienen ', ' die völker lernen schon ']",ababcdcd,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
15,"[' sagt sterbliche den sphären ihre zahlen ', ' und lehrt dem wilden winde seinen lauf ', ' und wägt den mond und spaltet sonnen stralen ', ' deckt die geburt des alten goldes auf ', ' und steiget an der wesen kette ', ' bis dahin wo den höchsten ring ', ' zevs an sein ruhebette ', ' zu seinen füssen hieng ']",ababcdcd,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
16,"[' wohl dir o du durch meinen freund regieret ', ' athen an geist voll muth wie sparta war ', ' es zog von kastors liede gern verführet ', ' zum kampf hinaus mit aufgebundnem haar ', ' die feinde die den kampf verloren ', ' erwiederten nicht ohne neid ', ' die stadt sey nur geboren ', ' zu waffen und zum streit  ']",ababcdcd,0,<_io.TextIOWrapper name='/home/andreas/copyrighted_data/rhyme_corpus/Ramler_KarlWilhelm_1767_gold_p9_s79_TEI-P5.xml' mode='r' encoding='utf-8'>
