word1,word2,rhyme
goß,aufgethan,0
weiht,speit,1
trefflichkeit,pendeluhr,0
prangst,decken,0
bösen,lösen,1
fragen,ausgeschlagen,1
lustberauscht,blühn,0
cytheren,hüten,0
hinein,sein,1
todesblocke,scherz,0
spähn,gewühl,0
hin,theur,0
boden,todten,1
ach,leeres,0
harmonie,spiegelwelle,0
strand,apenninenwand,1
drang,umfassen,0
verstande,genoß,0
genius,genuß,1
dichter,lichter,1
munde,todtenchor,0
nur,zugeschworen,0
gehn,kauf,0
gefilde,natur,0
grabeshöhle,todesriegeln,0
kreist,geist,1
baum,sagen,0
redlichen,leidenden,1
verneinet,erweinet,1
verzweiflungswahn,morgenrose,0
spielen,auferstehn,0
ihr,schmerzen,0
schufen,drang,0
mich,reize,0
blumenspur,nicht,0
feder,räder,1
nacht,zaubermacht,1
aus,treiben,0
wehn,feuerspiegel,0
süß,paradies,1
auferstehn,gehn,1
verwandter,verbannter,1
morgenkeime,lustberauscht,0
mütterlich,gaben,0
sterne,schauerlich,0
todten,piloten,1
schwimmt,lichten,0
umher,sternenleer,1
natur,fliegen,0
werden,schöpferfluß,0
verdamme,haus,0
gelesen,durchweben,1
zeit,seher,0
betrüben,lieben,1
jungen,glanz,0
enge,dann,0
seligkeit,natur,0
stein,hain,1
klage,freudengelage,1
mann,nach,0
floß,goß,1
riechen,kriechen,1
kronen,feind,0
abgetragen,ausgeschlagen,1
gebeinen,weinen,1
mai,entzwei,1
wein,sein,1
welt,sternenzelt,1
sei,entzwei,1
paradies,tyrannenwehre,0
denker,ziele,0
wein,ein,1
haben,geschlecht,0
hochveraltet,werken,0
himmeln,sonnen,0
pfühl,gefühl,1
haar,festen,0
weiht,leiht,1
pendeluhr,schenket,0
hain,ein,1
gebieten,priesterin,0
preist,geist,1
molkenkur,nur,1
nieder,mir,0
trinken,gluthverlangen,0
gleichen,reichen,1
blick,wieder,0
gewand,hand,1
ringer,vollbringer,1
amorinen,bedienen,1
abdrehen,krähen,1
gaben,männerrecht,0
genius,menschlichkeit,0
winken,mich,0
gerechtigkeit,schielen,0
erscheine,fort,0
er,wonne,0
nicht,denken,0
ritzen,blitzen,1
mehr,leer,1
tod,wesen,0
hilfe,schilfe,1
leier,geier,1
fesselzwang,hassen,0
weht,steht,1
vergelten,melden,1
lügenbrut,eiden,0
doktorenkragen,gefühle,0
blick,scheinen,0
phantasie,hie,1
drehn,lottospiel,0
erschrocken,locken,1
fleußt,strahle,0
pflug,schließen,0
stein,felsenstücken,0
brauset,grauset,1
bahn,schaar,0
edelster,erreichen,0
glänzte,bekränzte,1
wiedersehn,schwingt,0
gebaren,waren,1
talisman,mann,1
brüder,nieder,1
nur,mondenlicht,0
hüft,siegeskranz,0
flogst,bekriegtest,0
erweinet,schleiche,0
strande,lande,1
schweben,bach,0
welt,todten,0
mondenlicht,natur,0
mir,hier,1
sein,sternenrichter,0
gallionenheere,britannia,0
verbot,waschen,0
blüthen,hochveraltet,0
wonne,lauf,0
natur,spur,1
geleite,gewiß,0
geberde,saugen,0
krücke,geschicke,0
spielen,kummer,0
spur,natur,1
gefilde,natur,0
meister,natur,0
schlagen,klagen,1
kummer,eifern,0
überwinder,pygmalion,0
bach,ach,1
nacht,wonne,0
admet,schatten,0
tritten,heißen,0
kuß,genius,1
geblieben,spiritus,0
brücke,ergeben,0
strahlenblicken,grab,0
schielen,schlummer,0
entzücken,strahlenblicken,1
fliegen,gestiegen,1
einher,mehr,1
feuer,gestalten,0
herz,flammenschmerz,1
entsanken,riß,0
daran,mann,1
süße,auf,0
wonne,geistersonne,1
brüder,schlacht,0
pflug,genug,1
mir,weinen,0
ehre,schwere,1
altar,haar,1
sei,leise,0
mondenlicht,flügel,0
jugend,tugend,1
spur,nur,1
noth,flaschen,0
zittern,thau,0
pfauenpaar,haar,1
vermisse,erblickt,0
drücken,wand,0
dich,gebiete,0
herab,bund,0
verwandter,einander,1
brust,lust,1
leiden,eiden,1
götter,retter,1
umflötest,welt,0
alleine,wort,0
schweben,strampfen,0
küssen,ein,0
mutter,bruder,1
pole,sohle,1
mich,sich,1
erdenrund,bund,1
zurück,lieder,0
trefflichkeit,dankbarkeit,1
welt,entbinden,0
getriebe,liebe,1
sohn,gefild,0
nach,vergebens,0
leben,da,0
sternenleer,zielen,0
wonneleer,mehr,1
aus,weihn,0
herzen,herzen,1
schaft,weltgewimmels,0
hier,mutterlande,0
geschenk,noch,0
donnergang,klang,1
blicken,knicken,1
ach,mutter,0
bahn,philoktet,0
göttlicher,gleichen,0
tyrannen,zu,0
natur,lenket,0
thränte,gähnte,1
verachtet,geachtet,1
haus,nicht,0
schaar,ringer,0
spur,lebensfülle,0
feuerwunde,munde,1
sage,wage,1
brüder,schlacht,0
riß,süß,1
grab,jünglingsgeberde,0
ungetreue,tragen,0
umher,menschen,0
gleich,himmelreich,1
nicht,versenken,0
wonnefülle,gesang,0
schöne,blumenscene,1
sitze,ritze,1
klangen,zwangen,1
natur,nur,1
götterpracht,sonne,0
nach,schwärzt,0
laden,voran,0
ab,hält,0
spiegelwelle,sonnenhelle,1
himmelsflamme,aus,0
rollten,pause,0
plan,bahn,1
stehn,hügel,0
verloren,nicht,0
pfade,hier,0
heldenschwarm,arm,1
kinder,schon,0
altar,palästen,0
sie,sonnenhelle,0
geschlechte,apenninenwand,0
wagen,düftet,0
entweiche,schleiche,1
kuß,nothwendigkeit,0
schäferstunde,munde,1
tragen,sucht,0
beste,gäste,1
richterthron,geschlachtet,0
flügel,hoffnungen,0
natur,blumenspur,1
abgeblüht,wieder,0
natur,weltenuhr,1
dannen,tyrannen,1
schmucke,wach,0
höher,seher,1
harmonie,sie,1
philadelphia,entgeistert,0
thränenlasten,rasten,1
preisen,waisen,1
entsagen,schöne,0
wart,schart,1
throne,erdensohne,1
steigt,fleugt,1
wieder,dir,0
todtenchor,ohr,1
nicht,tugend,0
bild,band,0
einzuschlingen,erschwingen,1
springe,mehr,0
hohn,schon,1
hain,freund,0
rauschten,lauschten,1
fluth,gluth,1
füßen,küssen,1
natur,flur,1
dichterlande,grab,0
verbot,brod,1
gerippe,lippe,1
sohn,thron,1
mann,an,1
begehre,entbehre,1
stab,erde,0
schauern,trauern,1
jugend,tugend,1
hörnerklang,rundgesang,1
an,nannten,0
nicht,sinngedicht,1
weiht,flotte,0
zucke,nach,0
flaschen,beute,0
wort,fort,1
drucken,achselzucken,1
werken,neckt,0
stein,geweint,0
harmonie,sie,1
boden,talisman,0
trauerbühne,erweinet,0
seele,hügeln,0
sternenbogen,wogen,1
kämpfen,dämpfen,1
hörnerklang,becherklang,1
flügel,bedienen,0
daran,molkenkur,0
gewühl,lottospiel,1
stiegen,herab,0
trinken,versinken,1
grau,frau,1
dich,höhnen,0
rollten,thor,0
flügel,sternenmeer,0
ab,hält,0
meistert,entgeistert,1
linde,kieseln,0
mai,milde,0
loos,pfühl,0
tanz,gereift,0
richterwage,klage,1
gesetzen,daran,0
herrlichkeit,pendeluhr,0
redlichen,bösen,0
genoß,zelt,0
träger,kläger,1
rauschten,leier,0
sein,seele,0
sein,gefallen,0
reißt,geist,1
mir,papier,1
schlangenherz,entgegenbringt,0
kläger,grüfte,0
bedienen,drohn,0
piloten,hinan,0
steigen,quillt,0
begrabenen,mehr,0
zwillingspaar,vollbringer,0
reize,höhnen,1
hassen,umfassen,1
entbinden,winden,1
pracht,todtennacht,1
macht,errungen,0
entzwei,gefilde,0
gängelband,da,0
himmels,weltgewimmels,1
auf,trauerlauf,1
wimmert,sonnenaufgangsgluth,0
lacht,nacht,1
darauf,auf,1
cythere,hain,0
sternenbogen,wogen,1
leidenden,entblößen,0
busen,nie,0
todesriegeln,wiedersehn,0
nieder,gefieder,1
menschenkinder,finder,1
nicht,blumenspur,0
gelingt,landes,0
luft,hager,0
hinein,sternenbahn,0
oreaden,najaden,1
schande,mutterlande,1
flieht,brüder,0
verbannter,einander,1
freude,leide,1
heißen,mitzuspeisen,1
dreht,baum,0
hügel,begrabenen,0
sitz,blitz,1
gaukeln,zelle,0
hirt,an,0
schlug,flug,1
natur,hülle,0
neckt,hegt,1
tragen,dich,0
enge,mann,0
todten,geboten,1
gedenk,doch,0
mänaden,laden,1
stufen,fesselzwang,0
quillt,rosenbild,1
einzusaugen,augen,1
gefühle,spiele,1
natur,flur,1
nur,natur,1
thränen,sehnen,1
haus,trauerbühne,0
gebeinen,nacht,0
ein,rücken,0
spähte,purpurröthe,1
geschick,wollte,0
nicht,kunde,0
sich,blicke,0
drücken,blicken,1
all,thal,1
an,bahn,1
spiegelwelle,strahlenquelle,1
philoktet,gatten,0
wesen,gelesen,1
hangen,gluthverlangen,1
verliehn,ein,0
schmerz,leide,0
rücken,felsenstücken,1
schaukeln,glückeswelle,0
kosen,rosen,1
balsamwest,hochzeitfest,1
lieder,an,0
schweben,leben,1
stiegen,herab,0
scheinen,schauern,0
nicht,begehre,0
düftet,vergiftet,1
kunde,bunde,1
höhen,götterkönigin,1
noth,verbot,1
preist,gebaren,0
weint,blut,0
stehn,sehn,1
brüder,wieder,1
sarge,trauerhaus,0
flammenaugen,saugen,1
genau,frau,1
träumen,räumen,1
natur,sein,0
glanz,gereift,0
entzücken,aufgedämmert,0
preisen,reisen,0
barbar,gebar,1
särge,bahn,0
schütteln,zu,0
sich,sprang,0
blies,hemisphäre,0
geschick,augenblick,1
verbannten,kannten,1
leben,leben,1
an,schooße,0
schwebt,springen,0
mich,dich,1
thoren,angesicht,0
götterschwur,liegen,0
ungestüm,heldenstab,0
natur,firmament,0
geschrieben,verschwunden,0
um,elysium,1
gespann,voran,1
klage,sage,1
eingespannt,welt,0
schwere,seligkeit,0
kopf,städtlerschopf,1
sterblichen,gesetzen,0
balsamwest,gatten,0
prüfte,grüfte,1
nicken,schmücken,1
ulerich,klang,0
bade,gnade,1
verließ,entzücken,0
bahn,schaar,0
tragen,spiele,0
natur,mondenlicht,0
mondenlicht,nicht,1
gatten,matten,1
pfeifenklang,schlacht,0
brücke,trauerlauf,0
haus,aus,1
admet,philoktet,1
reben,natur,0
altären,cytheren,1
sympathie,bewohnet,0
herzt,schwärzt,1
erde,schwerte,1
phantasien,blühn,1
rechte,strand,0
sonnenhügel,her,0
herzen,schmerzen,1
loos,schooß,1
lauf,auf,1
