word1,word2,rhyme
reisen,besserung,0
drachen,lachen,1
throne,geschaut,0
verspricht,stern,0
buch,angesuch,1
könig,unterthänig,1
heu,haus,0
erklärt,stechen,0
rathen,staten,1
vorüber,lieber,1
jung,pomponia,0
feind,tuch,0
d,harmonie,1
scheu,hervor,0
tage,erfahren,0
manier,hier,1
verneuet,freuet,1
schein,pein,1
nehmen,schämen,1
thron,cron,1
seyn,sässen,0
seyn,tugendliecht,0
leibe,krügen,0
hechte,fechten,1
zeichen,sträuchen,1
zaudern,schaudern,1
bestehen,sehen,1
schande,verbande,1
gartenteich,sonnenschein,0
schmerzerrettern,blättern,1
pflücken,beseelt,0
erbarmen,armen,1
stricke,zurücke,1
epheükranz,glanz,1
spricht,gestalten,0
baun,unverholen,0
gebühr,jhr,1
stunden,verspürt,0
verführt,berührt,1
wesen,verlangen,0
haben,seine,0
gebüst,leide,0
todt,geboth,1
prophezeihung,erneuung,1
geistern,harmonie,0
wort,hinfort,1
ein,ein,1
geschaut,auff,0
die,gar,0
leyer,feyer,1
stimme,grimme,1
narcissen,frühlingsrosen,0
leben,leben,1
kind,schus,0
ein,seyn,1
meeresstrand,brand,1
kürzen,stürzen,1
gedeyt,erfreut,1
reist,geist,1
gehen,matten,0
leer,rathen,0
sey,schwäntzen,0
mir,dafür,1
du,schertzen,0
warum,krumm,1
geschmeide,leide,1
scheinet,langeschläfer,0
venus,beklaget,0
blut,flut,1
ran,kan,1
fraue,aue,1
spazieren,hause,0
beygebracht,reih,0
besitzen,nützen,1
leichen,zugleichen,1
umpfah,ja,1
geschöpfe,gemeine,0
bach,nach,1
erscheint,weint,1
ruht,macht,0
demtone,hohne,1
stirbt,grufft,0
gesetzt,benetzt,1
leer,mehr,1
kommen,gangen,0
sinnen,beginnen,1
dir,seyn,0
jungferschafft,krafft,1
gestöhn,horcht,0
schwunge,zunge,1
erworben,brüste,0
erden,werden,1
aue,nacht,0
stehn,gründen,0
spührt,rührt,1
nicht,seelenlicht,1
strafen,schlafen,1
gast,an,0
fliegen,liegen,1
thymian,brand,0
bemühen,blühen,1
angewandt,hand,1
blütenblatt,hüte,0
kan,an,1
gütte,gemüte,1
geld,feld,1
geführet,wieder,0
erbitten,hütten,1
seyn,führen,0
sein,bebt,0
ternate,pflicht,0
ruin,matten,0
ergiesset,mohrgesicht,0
mich,habe,0
zeit,dann,0
festgebaut,vertraut,1
proben,erdrücken,0
vollzieht,blüth,1
blut,spielt,0
entspriesse,betrübte,0
kan,schreiben,0
vaterland,tugend,0
habn,grabn,1
herein,privilegium,0
traum,sehn,0
hain,liebespein,1
engelrein,werden,0
linden,finden,1
abendschatten,ermatten,1
wahrsagungsstab,ab,1
huld,hellen,0
hertzen,tod,0
vermehren,trennen,0
tadeln,entadeln,1
her,ungeschickt,0
erlesen,gunst,0
pein,seyn,1
angelacht,ein,0
wangen,schlangen,1
du,ruh,1
auszubreiten,vergessen,0
filidor,vermeldt,0
schlaf,traf,1
armen,erwarmen,1
denker,henker,1
senken,au,0
lust,brust,1
paradei,ehrenprei,1
recht,knecht,1
kan,sinn,0
lehrtst,schwei,0
brodem,odem,1
wund,mund,1
wolgemut,blut,1
schrei,laut,0
ist,schönen,1
bleiben,treiben,1
osten,dauer,0
schlief,rief,1
gesicht,licht,1
licht,pflicht,1
begier,wein,0
parade,schokolade,1
art,minen,0
schrei,schnürt,0
dienen,hirtenknaben,0
genesen,gewesen,1
beschert,geben,0
testament,kennt,1
erdenrund,hebet,0
stille,brief,0
liecht,pracht,0
kinde,stünde,1
erwecken,heilen,0
stätte,schein,0
wunderbar,tagen,0
hiefe,riefe,1
entrollt,sich,0
klagen,brüderlein,0
sinn,bin,1
segen,stegen,1
tafft,portier,0
verstande,vaterlande,1
noth,versprochen,0
burgund,dar,0
scheiben,sonnenlicht,0
gefehlet,quälen,0
wonnesam,bräutigam,1
mördlichdräuet,speyet,1
maienluft,busenstrauss,0
verlor,thor,1
erfreue,floramor,0
zal,alzumal,1
allein,liebelein,0
vnverstand,vberwinden,0
