word,rythm
görg,[0.5]
möcht,[0.5]
geschehn,[0. 1.]
heissem,[1. 0.]
nem,[0.5]
geisterlande,[1.  0.  0.5 0. ]
gewies,[0. 1.]
reichthum,[1. 0.]
that,[0.5]
künft,[0.5]
zeitenfluth,[1.  0.  0.5]
ew,[1.]
sommerfreuden,[1.  0.  0.5 0. ]
giebt,[0.5]
todt,[0.5]
vergißt,[0. 1.]
seh,[0.5]
gnädiglich,[1. 0. 0.]
daß,[0.5]
logirt,[1. 0.]
studiren,[0. 1. 0.]
respectiren,[0. 0. 1. 0.]
nasengipfel,[1.  0.  0.5 0. ]
rößlein,[1. 0.]
welch,[0.5]
schnüpfel,[1. 0.]
mäulchen,[1. 0.]
kirschenpaar,[1.  0.  0.5]
gewiß,[0. 1.]
schelmenzähnchen,[1.  0.  0.5 0. ]
gieb,[0.5]
küßchen,[1. 0.]
stehl,[0.5]
muß,[0.5]
krible,[1. 0.]
krable,[1. 0.]
gothisch,[1. 0.]
kronburg,[1. 0.]
mondenlicht,[1.  0.  0.5]
festungswalle,[1.  0.  0.5 0. ]
fluth,[0.5]
helsingborg,[1.  0.  0.5]
dänmarks,[1.  0.5]
wälderpracht,[1.  0.  0.5]
kullen,[1. 0.]
sternenheller,[1.  0.  0.5 0. ]
heldenbild,[1.  0.  0.5]
muth,[0.5]
laßt,[0.5]
müß,[0.5]
schaar,[0.5]
finsterniß,[1.  0.  0.5]
nen,[0.5]
eisenpforten,[1.  0.  0.5 0. ]
jugendblut,[1.  0.  0.5]
uebermuth,[1. 0. 0.]
durchspähte,[1.  0.5 0. ]
steintisch,[1. 0.]
iv,[1.]
schwerdt,[0.5]
eisenkleid,[1.  0.  0.5]
heldenauge,[1.  0.  0.  0.5 0. ]
dänmark,[1.  0.5]
schwerdts,[0.5]
mannskraft,[1.  0.5]
dänenland,[1.  0.  0.5]
eisenstang,[1.  0.  0.5]
thür,[0.5]
riesendrucke,[1.  0.  0.5 0. ]
athmen,[1. 0.]
himmelsrund,[1.  0.  0.5]
besondres,[0. 1.]
gäb,[0.5]
wär,[0.5]
säh,[0.5]
mußt,[0.5]
liebesgluth,[1.  0.  0.5]
abconterfeit,[1.  0.  0.  0.5]
angethan,[1.  0.5]
officier,[0. 1. 0.]
rosenstrauch,[1.  0.  0.5]
gartenheck,[1.  0.  0.5]
lieschen,[1. 0.]
hinüberhängend,[0.  1.  0.5 0. ]
officierchen,[0. 1. 0. 0.]
lieschens,[1. 0.]
gestehn,[0. 1.]
geküßt,[0. 1.]
hatt,[0.5]
gesehn,[0. 1.]
bauerntracht,[1.  0.  0.5]
wurd,[0.5]
würd,[0.5]
haselbüsche,[1.  0.  0.5 0. ]
erdbeerpflanzen,[1.  0.  0.5 0. ]
bauerknabe,[1.  0.  0.5 0. ]
eig,[0.5]
nes,[0.5]
laß,[0.5]
gestohl,[0. 1.]
allertiefsten,[0. 1. 0. 0.]
theil,[0.5]
englein,[1. 0.]
flügelein,[1. 0. 0.]
trompet,[1. 0.]
piquet,[1. 0.]
wirds,[0.5]
giebts,[0.5]
engelshauf,[1.  0.  0.5]
himmelszelt,[1.  0.  0.5]
aaren,[1. 0.]
rundgesang,[1.  0.  0.5]
geklinge,[0. 1. 0.]
rosenknospe,[1.  0.  0.5 0. ]
mädchenmund,[1.  0.  0.5]
küß,[0.5]
kuß,[0.5]
geb,[0.5]
küßt,[0.5]
küßte,[1. 0.]
müßt,[0.5]
aeste,[1. 0.]
wohlgewachs,[1.  0.  0.5]
thau,[0.5]
dacht,[0.5]
windesbraut,[1.  0.  0.5]
heckenstäbe,[1.  0.  0.5 0. ]
wehgeschrei,[1.  0.  0.5]
feuerbrände,[1.  0.  0.5 0. ]
thüre,[1. 0.]
kindlein,[1. 0.]
thu,[0.5]
mütterlein,[1. 0. 0. 0.]
noth,[0.5]
hüttchen,[1. 0.]
lampenschein,[1.  0.  0.5]
herzliebsten,[1.  0.5 0. ]
treibrad,[1.  0.  0.5]
mühlteich,[1.  0.5]
geröthet,[0. 1.]
schneekönigin,[1.  0.5 0.  0. ]
schneelichtes,[1.  0.5 0. ]
ueber,[1. 0.]
blumennetz,[1.  0.  0.5]
ringelreihn,[1.  0.  0.5]
theilt,[0.5]
treuerweise,[1.  0.  0.5 0. ]
ge,[0.5]
mutteraug,[1.  0.  0.5]
heerden,[1. 0. 0.]
indeß,[1. 0.]
königssaal,[1.  0.  0.5]
thal,[0.5]
geisterwelt,[1.  0.  0.5]
zauberschlösser,[1.  0.  0.5 0. ]
siegespalm,[1.  0.  0.5]
geisterland,[1.  0.  0.5]
zauberwelt,[1.  0.  0.5]
hütt,[0.5]
schloß,[0.5]
verstehn,[0. 1.]
wunderschätzen,[1.  0.  0.5 0. ]
blüth,[0.5]
wunderhold,[1.  0.  0.5]
heraufgezogen,[0.  1.  0.  0.5 0. ]
gluth,[0.5]
unsre,[1. 0.]
flammenwort,[1.  0.  0.5]
brudersinnes,[1.  0.  0.5 0. ]
sangesmeister,[1.  0.  0.5 0. ]
oehlenschläger,[1.  0.  0.5 0. ]
norweg,[1. 0.]
hernieder,[0. 1. 0.]
thaten,[1. 0.]
ruhmvoll,[1. 0.]
nachbarlichen,[1. 0. 0. 0. 0.]
morgenstund,[1. 0. 0.]
rosenzweig,[1.  0.  0.5]
farb,[0.5]
kämpenhügel,[1.  0.  0.5 0. ]
zauberschein,[1.  0.  0.5]
norwegs,[1. 0.]
rothen,[1. 0.]
offnen,[1. 0.]
inne,[1. 0.]
rosenknosp,[1.  0.  0.5]
wechselsweise,[1.  0.  0.5 0. ]
niederthaut,[1.  0.  0.5]
thierchen,[1. 0.]
sten,[0.5]
gescheh,[0. 1.]
seltne,[1. 0.]
wunderkräften,[1.  0.  0.5 0. ]
prächt,[0.5]
feentempel,[1.  0.5 0. ]
auferbaut,[1.  0.  0.5]
morgenschein,[1.  0.  0.5]
sommerwölkchen,[1.  0.  0.5 0. ]
andres,[1.]
himmelshöhn,[1.  0.  0.5]
jesuskind,[1.  0.  0.5]
erdwärts,[1. 0.]
erstehn,[0. 1.]
wehn,[0.5]
riesge,[1. 0.]
wolkensitze,[1.  0.  0.5 0. ]
erdenwärts,[1.  0.  0.5]
wogenschwall,[1.  0.  0.5]
wunderholdes,[1.  0.  0.5 0. ]
rin,[0.5]
aug,[0.5]
ird,[0.5]
sche,[0.5]
gährt,[0.5]
wonnig,[1. 0.]
elfenschaar,[1.  0.  0.5]
blumenkahn,[1.  0.  0.5]
engelszügen,[1.  0.  0.5 0. ]
engelsflügel,[1.  0.  0.5 0. ]
