word1,word2,rhyme
muhtnegie,rim,0
lüwhcs,hflpü,0
esiem,esiernenueh,1
nebätsrettig,bneewretnunih,0
niehcsnenretal,htok,0
dnas,sednief,0
edniseg,edniw,1
tuerfre,tuabeg,0
tgeil,tsurb,0
nebah,tro,0
nesseilhcs,nesseirdrev,1
yerhcseg,neäyl,0
tröh,nerhez,0
hcan,na,0
tesiepseg,setiewre,0
rid,heir,0
ednarts,ednas,1
nenrib,nesie,0
nietsnehoh,enigat,0
tegerre,tgaseg,0
tebürteb,tebeil,1
nednuts,trüpsrev,0
tednibrev,entfdi,0
neges,norknetrym,0
nief,nedlibuzhcan,0
ekcüleg,neztegre,0
nak,uz,0
reih,uert,0
tsnurb,tsnugsebeil,1
nedräbeg,nedre,1
etlapsneklow,etlak,1
ztuerc,neheg,0
znat,znalgsednom,1
neseirpeg,neseiweg,1
tffarksnebel,tffas,1
nebeg,nebel,1
nellahcsrebol,lenlawleges,0
hcilhcerbrez,rednuzsnebel,0
neniew,ennietsuz,0
theis,dluhcs,0
egew,egälhcs,1
nerhel,nerhe,1
nehcets,naitsirhc,0
ednüts,dneibegna,0
nyes,einomrah,0
leknud,ekufelng,0
tuahcseg,taubeg,0
düs,ühtgl,0
eink,negniwz,0
hcimtsebeil,hcisla,1
nesel,ihneensc,0
eronoele,erohc,1
tletseg,tiez,0
dneguj,remmilhcs,0
gew,nyes,0
nebürteb,ebnlei,0
thcarbllov,thcan,1
nekcerhcs,negnurpstne,0
etuel,etueh,1
nuerfre,ettümeg,0
hcue,chiernenrets,0
dnub,unedwvr,0
ffpmihcs,nehez,0
na,ekcilb,0
tsenneslef,tsef,1
tün,a,0
tlham,nhegffua,0
lohcs,sielg,0
nerotsap,eztakneuel,0
thcilfprev,thcirbeg,1
tlüf,tligrev,0
eztremhcs,hrtzee,0
lhow,lhoh,1
enhäm,enhäz,1
tmmilk,negülf,0
nyerhcs,räw,0
nenni,ennnis,0
nehcuärts,nehcielhcs,1
negnilkre,wgnenhics,0
tsetleih,hcim,0
zre,neppar,0
tsbeil,tsbeig,1
thcarp,tllüfre,0
tueb,tuarb,0
trhegeb,negnafmu,0
tbew,nettahcs,0
treznok,tsnuk,0
eknuf,nekcalhcs,0
tkkelfebnu,tkketsegnanu,1
neniehcs,rettiwegnu,0
ehcsuatrev,ehcsual,1
teyerf,eytecehporp,0
nnik,dnah,0
neteb,neraahcsretierts,0
eilredein,makrebü,0
esor,roes,0
dnah,antkeb,0
tnürgeg,tneideg,1
nellafrev,nella,1
nnis,nib,1
netsin,nehez,0
tnnen,tnnert,0
nennoweg,nennorb,1
nyes,seinch,0
neuasnebel,neuaht,1
tbürteb,nyah,0
negnurpstne,negnusegsua,1
nnis,nih,1
tfful,dnafp,0
niehcs,nierd,1
thcireg,tchin,0
htrew,nehcierre,0
tdnelbrev,tdnewegba,1
rad,rhafeg,1
nak,reh,0
od,cohs,0
tmmitseb,imntm,0
netseb,entsäg,0
tednüztne,dtenük,0
tehcierts,nremmakshtarrov,0
nhuh,nuht,1
nednilb,tednif,0
egat,egas,1
nremmihcs,nremmilfreblis,1
nebeil,enbürteb,0
edüm,deeirf,0
ehes,eheg,1
rohc,negier,0
nöteg,gnaltne,0
tuerts,htusce,0
retiew,rim,0
tmmin,nalagnoitceffa,0
nyes,nierhcs,1
horf,znatnetuder,0
na,nebeg,0
negeib,negeirkeb,1
ztirneties,nessük,0
negeis,gneeil,0
nedre,nedrew,1
gnalkredeiw,negersgnilhürf,0
tlhüw,tlüpsmu,0
rhabneffo,kaennlrnos,0
tkilbeg,snebegrev,0
hcim,mhic,0
tehcark,nedrom,0
gatneduerf,ggale,0
nyes,iensch,0
nedniwretnu,nednib,1
ulfrebu,höh,0
reiz,nedro,0
nnik,nih,0
ssulhcs,surakco,1
negül,hcarpsrev,0
ednarts,negatremmos,0
tnöhcsrev,tnöt,1
enrets,rhunetdot,0
ekcihcseg,nezteshcan,0
trhekeg,nuhtuzfua,0
nereiger,rnühfe,0
tmmök,nyes,0
leiz,liw,1
thcsual,thcsuar,1
ekcihcs,ekcüleg,1
ttops,nebel,0
uarg,hcilrewhcseb,0
tgateg,nhetsuzba,0
frahcs,fraw,0
hew,eh,0
urdrev,thcisegnaslegne,0
ereib,renüh,0
nyes,neys,0
nennekeb,nennne,0
dnaw,dnah,1
nednifuz,dlef,0
tdielk,neztrehcs,0
negeil,negeib,0
nessiw,enssiwgrev,0
ennitirahc,nebel,0
tekkürd,nednäb,0
nethön,tendöt,0
tetielg,ellewhcs,0
nyes,ein,0
seidarap,ttensrednud,0
nrettög,ternetr,0
kcor,cokb,0
nesserf,nesseseb,1
ttinhcs,titrhcs,0
ehcrel,ehcröts,0
ud,etuartrev,0
egew,häecslg,0
nnaps,ellehlepma,0
negozeg,trow,0
nednäh,nerhäm,0
nedre,nedrew,1
bratsrev,edreh,0
eseiwsedlaw,nnamredeib,0
neknärkuz,nies,0
nerom,tiezrednuw,0
rhegeb,niella,0
nenork,negat,0
etnhes,na,0
znag,zanrkreebrol,0
ehciel,ehcielbsnekcerhcs,1
thcsuareb,hes,0
nessag,nsesal,0
tpuahnelharts,ekcilb,0
nehcsiz,elleh,0
netfüd,netfirt,1
hets,tkciuqre,0
nak,nalagnoitoved,1
iew,nekcnad,0
thcäwhcseg,nrettiz,0
rehcöl,orgrebü,0
netdöt,ntnöeh,0
lhats,nroz,0
tlletseb,euqati,0
nethürps,nethülb,1
zrehcs,zreh,0
nredläw,nredlef,1
ennitirahc,nedrow,0
ellats,thcielg,0
rhes,rewhcs,1
nerehcseb,nerhewre,0
nrettiz,tnötre,0
llahcs,nemmoneg,0
tremmäd,termmäd,0
nies,niereh,1
ewert,ewehcs,1
liehtnegeg,lieb,1
tiez,nnad,0
nietsneslef,nie,1
tllos,dlog,1
tgniwhcs,rolrev,0
tiekhcilörf,niew,0
nhetsreffua,nebre,0
netla,tnhlea,0
tuarb,tual,0
hciew,tulg,0
tlatseg,relagwtehcsrreh,0
suareh,asubr,0
tffahcs,fsfta,0
neselre,nellal,0
netraw,netrag,1
thcirps,thcin,1
znalgnednom,nholftne,0
nehciweg,nrehcök,0
nedrew,kitilop,0
negnalrev,engnafpme,0
zreh,zrshemc,0
tfark,tfahcsnessiw,1
ginötnenoillim,tsew,0
thcaleg,fua,0
nier,nie,1
nellafeg,nella,1
tiez,teztesegffua,0
