,word1,word2,rhyme,distance
1,drachen,cnehal,0,15.206896781921387
4,könig,untertgäihn,0,16.582041528489853
7,rathen,ttsnea,0,22.06279754638672
8,vorüber,eeirbl,0,16.615347226460774
13,verneuet,fuerte,0,12.370247311062283
14,schein,pine,0,6.264630105760363
15,nehmen,schämne,0,11.790242248111301
16,thron,norc,0,15.60680357615153
20,zeichen,sträuchne,0,11.24739678700765
21,zaudern,schaudnre,0,10.120637204911974
22,bestehen,heens,0,13.006693787044949
23,schande,veeandbr,0,16.468351364135742
24,schmerzerrettern,blttenrä,0,15.535121705796984
26,erbarmen,arnem,0,8.458434263865152
27,stricke,zkucrüe,0,22.646827697753906
28,epheükranz,glzan,0,8.31526772181193
32,verführt,berührt,0,6.812563790215386
36,todt,oethbg,0,24.424418767293293
38,wort,hnitofr,0,14.414411120944553
39,ein,nie,0,19.262898127237957
41,leyer,ryeef,0,15.94707891676161
42,stimme,grimme,0,6.637051582336426
43,leben,beenl,0,11.802327791849772
45,ein,neys,0,15.180820729997423
46,meeresstrand,brdan,0,6.4376606941223145
47,kürzen,stürnez,0,22.544300927056206
48,reist,gesti,0,22.499873161315918
53,warum,krmmu,0,16.543141471015083
54,geschmeide,ledei,0,9.352458847893608
57,blut,ftlu,0,17.16733275519477
58,ran,akn,0,9.601588196224636
59,fraue,uae,0,25.579444249471027
62,besitzen,nütnze,0,12.47173998090956
63,leichen,zugleicenh,0,16.519126892089844
64,umpfah,ja,0,8.61642509036594
66,erscheint,wetni,0,18.4772891998291
68,demtone,hoenh,0,12.435796949598524
70,gesetzt,btzneet,0,16.007363425360786
71,leer,mreh,0,16.13895818922255
72,sinnen,beeingnn,0,9.321859651141697
74,jungferschafft,akfrtf,0,10.848077138264975
76,schwunge,zuegn,0,15.403098424275717
78,erden,rneedw,0,21.690383911132812
81,spührt,rührt,0,6.8030159208509655
82,strafen,scalefhn,0,12.969817850324842
84,fliegen,lieeng,0,12.811410056220161
85,bemühen,lenühb,0,11.925124380323622
87,kan,an,0,6.698051028781467
88,gütte,gemüte,0,5.601206143697103
89,geld,dfel,0,8.48558266957601
91,erbitten,nthtüe,0,22.3132258521186
98,festgebaut,vertratu,0,18.368623733520508
102,habn,granb,0,18.107734945085312
105,hain,liebespnei,0,14.166439480251736
107,linden,finned,0,15.943199581570095
108,abendschatten,ermatetn,0,6.328888734181722
111,tadeln,entadenl,0,13.860684553782145
114,pein,syne,0,6.791825983259413
116,wangen,schlangen,0,5.946385171678331
117,du,hur,0,18.521906005011665
119,schlaf,rfat,0,9.380475997924805
120,armen,erenawrm,0,13.350181685553657
121,denker,henrke,0,12.40124903784858
123,lust,ubtrs,0,12.399307039048937
124,paradei,ehrenprie,0,19.463032722473145
125,recht,knehct,0,22.5433103773329
128,brodem,odme,0,14.98422908782959
129,wolgemut,blut,0,8.313770665062798
131,bleiben,treienb,0,19.338815053304035
133,schlief,rief,0,5.91494968202379
134,gesicht,licht,0,6.851921399434407
135,licht,pitfchl,0,15.761975076463488
137,parade,schoedokal,0,9.052722877926296
141,genesen,genswee,0,18.660993364122177
143,testament,kentn,0,16.242858674791123
147,kinde,esütdn,0,13.258618354797363
151,hiefe,rifee,0,11.655951076083714
154,sinn,inb,0,17.9901794857449
155,segen,steeng,0,14.2443142996894
157,verstande,vatenedalr,0,12.25668970743815
161,wonnesam,bräutimga,0,10.359217643737793
162,mördlichdräuet,tpeyse,0,15.49401961432563
164,verlor,ohtr,0,14.994508107503256
