,word1,word2,rhyme
0,reisen,besserung,0
1,drachen,lachen,1
2,throne,geschaut,0
3,verspricht,stern,0
4,könig,unterthänig,1
5,heu,haus,0
6,erklärt,stechen,0
7,rathen,staten,1
8,vorüber,lieber,1
9,jung,pomponia,0
10,feind,tuch,0
11,scheu,hervor,0
12,tage,erfahren,0
13,verneuet,freuet,1
14,schein,pein,1
15,nehmen,schämen,1
16,thron,cron,1
17,seyn,sässen,0
18,seyn,tugendliecht,0
19,leibe,krügen,0
20,zeichen,sträuchen,1
21,zaudern,schaudern,1
22,bestehen,sehen,1
23,schande,verbande,1
24,schmerzerrettern,blättern,1
25,pflücken,beseelt,0
26,erbarmen,armen,1
27,stricke,zurücke,1
28,epheükranz,glanz,1
29,spricht,gestalten,0
30,baun,unverholen,0
31,stunden,verspürt,0
32,verführt,berührt,1
33,wesen,verlangen,0
34,haben,seine,0
35,gebüst,leide,0
36,todt,geboth,1
37,geistern,harmonie,0
38,wort,hinfort,1
39,ein,ein,1
40,die,gar,0
41,leyer,feyer,1
42,stimme,grimme,1
43,leben,leben,1
44,kind,schus,0
45,ein,seyn,1
46,meeresstrand,brand,1
47,kürzen,stürzen,1
48,reist,geist,1
49,gehen,matten,0
50,leer,rathen,0
51,sey,schwäntzen,0
52,du,schertzen,0
53,warum,krumm,1
54,geschmeide,leide,1
55,scheinet,langeschläfer,0
56,venus,beklaget,0
57,blut,flut,1
58,ran,kan,1
59,fraue,aue,1
60,spazieren,hause,0
61,beygebracht,reih,0
62,besitzen,nützen,1
63,leichen,zugleichen,1
64,umpfah,ja,1
65,geschöpfe,gemeine,0
66,erscheint,weint,1
67,ruht,macht,0
68,demtone,hohne,1
69,stirbt,grufft,0
70,gesetzt,benetzt,1
71,leer,mehr,1
72,sinnen,beginnen,1
73,dir,seyn,0
74,jungferschafft,krafft,1
75,gestöhn,horcht,0
76,schwunge,zunge,1
77,erworben,brüste,0
78,erden,werden,1
79,aue,nacht,0
80,stehn,gründen,0
81,spührt,rührt,1
82,strafen,schlafen,1
83,gast,an,0
84,fliegen,liegen,1
85,bemühen,blühen,1
86,blütenblatt,hüte,0
87,kan,an,1
88,gütte,gemüte,1
89,geld,feld,1
90,geführet,wieder,0
91,erbitten,hütten,1
92,seyn,führen,0
93,sein,bebt,0
94,ternate,pflicht,0
95,ergiesset,mohrgesicht,0
96,mich,habe,0
97,zeit,dann,0
98,festgebaut,vertraut,1
99,blut,spielt,0
100,kan,schreiben,0
101,vaterland,tugend,0
102,habn,grabn,1
103,herein,privilegium,0
104,traum,sehn,0
105,hain,liebespein,1
106,engelrein,werden,0
107,linden,finden,1
108,abendschatten,ermatten,1
109,huld,hellen,0
110,hertzen,tod,0
111,tadeln,entadeln,1
112,her,ungeschickt,0
113,erlesen,gunst,0
114,pein,seyn,1
115,angelacht,ein,0
116,wangen,schlangen,1
117,du,ruh,1
118,filidor,vermeldt,0
119,schlaf,traf,1
120,armen,erwarmen,1
121,denker,henker,1
122,senken,au,0
123,lust,brust,1
124,paradei,ehrenprei,1
125,recht,knecht,1
126,kan,sinn,0
127,lehrtst,schwei,0
128,brodem,odem,1
129,wolgemut,blut,1
130,schrei,laut,0
131,bleiben,treiben,1
132,osten,dauer,0
133,schlief,rief,1
134,gesicht,licht,1
135,licht,pflicht,1
136,begier,wein,0
137,parade,schokolade,1
138,art,minen,0
139,schrei,schnürt,0
140,dienen,hirtenknaben,0
141,genesen,gewesen,1
142,beschert,geben,0
143,testament,kennt,1
144,erdenrund,hebet,0
145,stille,brief,0
146,liecht,pracht,0
147,kinde,stünde,1
148,erwecken,heilen,0
149,stätte,schein,0
150,wunderbar,tagen,0
151,hiefe,riefe,1
152,entrollt,sich,0
153,klagen,brüderlein,0
154,sinn,bin,1
155,segen,stegen,1
156,tafft,portier,0
157,verstande,vaterlande,1
158,noth,versprochen,0
159,burgund,dar,0
160,scheiben,sonnenlicht,0
161,wonnesam,bräutigam,1
162,mördlichdräuet,speyet,1
163,maienluft,busenstrauss,0
164,verlor,thor,1
165,erfreue,floramor,0
166,vnverstand,vberwinden,0
167,glücke,zurücke,1
168,heute,erneute,1
169,sonnenneige,norden,0
170,werden,leid,0
171,hiefe,näher,0
172,greis,sprechen,0
173,frommen,eingenommen,1
174,zeiten,saiten,1
175,verzagen,stultius,0
176,gesetzt,namen,0
177,geschwind,sind,1
178,zeit,leid,1
179,aue,erhoben,0
180,lassen,gelten,0
181,schein,verschwinden,0
182,gebricht,spricht,1
183,streut,vergünt,0
184,schmertzens,gru,0
185,ziehen,fliehen,1
186,erstaunen,faunen,1
187,tagen,ertragen,1
188,stärcke,ein,0
189,frank,la,0
190,aus,zungen,0
191,leben,sturbe,0
192,hat,grösser,0
193,erde,orden,0
194,macht,nacht,1
195,verwirrt,schülerin,0
196,erden,werden,1
197,gestell,spielgesell,1
198,zieret,strahle,0
199,stechen,brechen,1
200,träumt,schwillet,0
201,stehen,thür,0
202,schreiben,geist,0
203,sinn,bin,1
204,werde,erde,1
205,linde,winde,1
206,victoria,victoria,1
207,liebe,triebe,1
208,canaan,angethan,1
209,nun,gestillt,0
210,nacht,herz,0
211,zu,thu,1
212,sündenkoth,sünden,0
213,beglänzen,bekränzen,1
214,allhier,zier,1
215,nass,gras,1
216,verwahrt,art,1
217,zuspüren,wohlgefiel,0
218,osten,hurrah,0
219,gläube,bleibe,1
220,zu,blicken,0
221,innen,soll,0
222,zurücke,tücke,1
223,tod,her,0
224,buch,bund,0
225,wiegen,liegen,1
226,stein,bilde,0
227,lachen,klein,0
228,nicht,gebricht,1
229,sind,lebensbäumen,0
230,hirt,wird,1
231,könnt,nennt,1
232,fliest,wunderkinde,0
233,satt,statt,1
234,tag,verwacht,0
235,geflochten,vertraut,0
236,thätigkeit,zeit,1
237,vergehen,auszudeuten,0
238,sohn,schon,1
239,nachtigallen,schallen,1
240,rost,umtost,1
241,geht,barmhertzigkeit,0
242,redligkeit,sitten,0
243,gebricht,ersetzet,0
244,ab,seyn,0
245,noth,todt,1
246,gaben,begraben,1
247,nieder,pupurzelt,0
248,geliebet,nur,0
249,behend,kinderschuhe,0
250,tannewald,tho,0
251,gehen,stehen,1
252,riese,erträglich,0
253,wolte,gro,0
254,sonnenblicke,hatten,0
255,gesang,klingen,0
256,liebeskraft,dein,0
257,ruhmesschall,feld,0
258,nicht,nicht,1
259,schön,gehn,1
260,hinnen,abgewinnen,1
261,entsezt,grund,0
262,macht,lacht,1
263,dazu,entflohn,0
264,stunden,empfunden,1
265,memme,stemme,1
266,gedrungen,sitzt,0
267,erthönest,ungescheut,0
268,krügen,zügen,1
269,gro,thaten,0
270,blut,seelenlicht,0
271,gelegt,bewegt,1
272,berochen,hat,0
273,mir,dir,1
274,schlicht,gedicht,1
275,sehn,jahre,0
276,hertz,himmelwerts,1
277,zu,stirne,0
278,lipppensafft,geschafft,1
279,braust,befreier,0
280,liebe,liebe,1
281,lande,sande,1
282,lieder,dampf,0
283,reichen,gleichen,1
284,gesagt,wagt,1
285,thaten,mirtenbüschen,0
286,leid,schuld,0
287,gesind,kind,1
288,stöhrt,legen,0
289,gezwungen,migelungen,1
290,herab,sang,0
291,wind,auch,0
292,entbrannt,vaterland,1
293,fieberlast,sinn,0
294,gleicht,schleicht,1
295,gezeugt,cola,0
296,bewohne,sohne,1
297,schmertze,hertze,1
298,rose,scheinen,0
299,geben,sprach,0
300,dir,fehlen,0
301,leben,nach,0
302,kranken,gedanken,1
303,erwählet,unterpfand,0
304,hebt,her,0
305,leer,mehr,1
306,versuchen,garten,0
307,kind,gesinnt,1
308,aufgeweckt,leben,0
309,empört,stöhnte,0
310,empor,licht,0
311,armen,seyn,0
312,dabei,sinn,0
313,seide,dienen,0
314,siegen,unterliegen,1
315,frieden,liebe,0
316,an,sich,0
317,mauern,düster,0
318,wintersnoth,bedinget,0
319,noch,hat,0
320,journal,einmal,1
321,wort,ort,1
322,erlesen,gewesen,1
323,stehn,gehn,1
324,küssen,klee,0
325,verklärt,blicket,0
326,andern,wandern,1
327,nicht,ergetzet,0
328,rein,nein,1
329,schäferey,schlafen,0
330,geflossen,verschlossen,1
331,rund,zuckermund,1
332,wagen,zernagen,1
333,liebe,liebe,1
334,grüften,labe,0
335,unwandelbare,einzigwahre,1
336,fort,wort,1
337,güte,gemüthe,1
338,geschüttelt,zimmern,0
339,weihrauchschwehlen,kehlen,1
340,vergangenheit,erblickt,0
341,schauen,vaterland,0
342,ohngefehr,her,1
343,ersiegen,erflüstern,0
344,hin,bin,1
345,sonneschein,regen,0
346,augenblick,sorgen,0
347,beschämen,nehmen,1
348,herrn,speer,0
349,erklungen,gaben,0
350,pfeilen,teilen,1
351,durchflossen,aufgeschlossen,1
352,spitzen,sitzen,1
353,stande,schande,1
354,witt,gmerkt,0
355,gebot,sizt,0
356,lacht,lacht,1
357,flur,weide,0
358,gras,vogelnester,0
359,kommen,genommen,1
360,gestorben,nette,0
361,hin,sinn,1
362,us,a,0
363,füssen,wissen,1
364,sinnend,hinde,0
365,vermischen,erfrischen,1
366,blick,gestalt,0
367,augen,laugen,1
368,scho,wischen,0
369,leben,hadersleben,1
370,tragen,entsagen,1
371,kirchhofsschauer,spielen,0
372,arm,erbarm,1
373,einsamkeit,jederzeit,1
374,erwacht,prangen,0
375,füge,beschleust,0
376,entlang,gesang,1
377,streun,rosenblume,0
378,liebe,will,0
379,gnadenreich,gleich,1
380,freind,feind,1
381,kinderspiel,zuviel,1
382,jahren,waren,1
383,schenken,hören,0
384,gleichen,schleichen,1
385,erhitzt,licht,0
386,speyte,klang,0
387,krafft,schätzen,0
388,beschieden,gott,0
389,seele,blut,0
390,ehr,bestöllen,0
391,dienen,grünen,1
392,reiben,wehr,0
393,bestrickt,erblickt,1
394,feuer,glut,0
395,willen,amaryllen,1
396,zier,mir,1
397,geht,hin,0
398,seyn,begehrt,0
399,her,her,1
400,westen,vesten,1
401,anzuschauen,auen,1
402,braut,gast,0
403,nationen,bewohnen,1
404,thräne,gemach,0
405,erstiegen,besiegen,1
406,dornenbahn,lieben,0
407,gottesdienste,währt,0
408,weist,mohn,0
409,hold,goht,0
410,welt,gethan,0
411,nachbarschaft,gewalt,0
412,kind,wind,1
413,kauf,seyn,0
414,vogelin,dahin,1
415,bist,gatten,0
416,beharrt,gang,0
417,bäumen,träumen,1
418,braut,angetraut,1
419,weiber,schreiber,1
420,sack,an,0
421,meeresfluth,bricht,0
422,wald,erregt,0
423,herrligkeit,zubereit,1
424,fledermau,gut,0
425,geeint,nachgeweint,1
426,seyn,geld,0
427,blind,andern,0
428,glut,thut,1
429,verwahrung,hinan,0
430,mut,gebein,0
431,gelogen,feind,0
432,ehrenstamme,ausgerissen,0
433,eichenhorst,reichsbaron,0
434,empor,pusikan,0
435,braut,vertraut,1
436,kam,nahm,1
437,aus,haus,1
438,mann,neu,0
439,ein,sein,1
440,mänade,bade,1
441,gethan,galan,1
442,grab,einmal,0
443,küt,ist,0
444,buch,tuch,1
445,sterbligkeit,vergehen,0
446,luft,wasserfee,0
447,ein,stunde,0
448,haus,hinaus,1
449,gewissen,wort,0
450,reise,waise,1
451,ziert,führt,1
452,theuer,schmertz,0
453,angesehen,stehen,1
454,meinetwegen,drum,0
455,allein,seyn,1
456,tragen,zeichen,0
457,zeitvertreib,rohr,0
458,erjagen,leib,0
459,wort,hort,1
460,weiten,gleiten,1
461,schwebet,belebet,1
462,hell,beben,0
463,zähren,gebären,1
464,tantz,glantz,1
465,moment,minute,0
466,kränken,fern,0
467,gerathen,wunderthat,1
468,bespritzt,aufgeritzt,1
469,tanz,kranz,1
470,gleich,zweig,1
