,word1,word2,rhyme,distance
18136,gelegen,dieseeegnrw,0,16.046549532148575
18135,gereuen,rnueef,0,14.051916228400337
10078,mädchen,rädcnhe,0,13.051654179890951
10079,fischerkahn,na,0,10.218946244981554
18129,nachtigallen,wiederschallne,0,11.457940101623535
18127,flecke,dekec,0,9.005266030629477
18126,eignen,verlgnneue,0,14.686040348476833
18123,verdrossen,spielgenosnes,0,21.732986450195312
18195,rohr,vor,0,5.398612234327528
18199,kilian,wuotrkna,0,11.012066788143581
18272,wochen,ausphceno,0,15.6649808883667
18271,blicke,geshecikc,0,18.493565877278645
10003,pravieret,zieret,0,6.531269974178738
10004,schalmeien,hreeni,0,18.77334033118354
10006,selbstgewachsnerspeis,bäuemseir,0,12.045945803324381
10007,dich,ritterlcih,0,20.44906891716851
10009,junge,freudensprugen,0,18.12555260128445
18259,ertrinken,versinken,0,4.4066009521484375
9998,ergötzet,verlöttez,0,14.064894252353245
18278,schenken,einzutränenk,0,15.405159738328722
18304,frisch,tichs,0,10.69830067952474
18298,düne,tribenü,0,12.80784363216824
9988,erschiene,verdienne,0,12.532247331407335
18292,schmugglerquellen,wellen,0,6.456793785095215
9991,zuklagen,zerschlagne,0,14.15940072801378
18289,abendlicht,gesihct,0,15.860693189832899
18288,wacherufen,ntfeus,0,18.703578419155544
9995,fenster,gassengespenetsr,0,12.118678251902262
18283,gesagt,gewgta,0,10.413951608869764
18282,verschlaft,bestrtaf,0,7.324061499701606
18281,straen,verratnhe,0,17.92830382453071
18254,vergehen,geehn,0,6.27884676721361
10013,schier,rid,0,19.251976754930283
10014,hohn,todtenkrno,0,14.681926833258736
18220,zufriedenheit,glückseeligkiet,0,10.337301360236275
10033,erdacht,gtachem,0,16.66532606548733
18215,laut,truta,0,15.52028857337104
18210,decken,strecenk,0,17.639230410257976
10040,gelandet,veraetdns,0,12.77060333887736
18203,schlumpen,peulmn,0,15.175050894419352
18201,propaganden,vordnnahe,0,25.917639626397026
18230,unterbaun,schnua,0,17.568455590142143
18250,schatten,verstatetn,0,6.127315839131673
18244,dwägese,degsäse,0,4.753415478600396
18241,gelihen,zueübnhl,0,9.968782583872477
18239,blümelein,ebgeni,0,15.588265736897787
18238,wehrt,bhteger,0,13.17451540629069
18236,händ,sden,0,12.466096931033665
10021,schwung,schlgnu,0,14.620520803663466
18528,gesiegt,tglei,0,21.804131295945908
18831,spritzen,pfeütnz,0,13.854226112365723
18829,parthein,sine,0,12.532528665330675
18826,zeit,anderwtie,0,24.19689432779948
9689,geist,fortgereist,0,6.640693134731716
9690,pfahl,arthsl,0,15.549312273661295
18820,gar,arah,0,11.08255026075575
9700,drei,riilev,0,16.608466572231716
9684,liebespein,mündelnie,0,17.12980471716987
18812,verneinen,meinen,0,5.2962099181281195
18835,schwall,mauwealrl,0,14.119861125946045
9670,klein,wine,0,7.591375430425008
18855,dies,heis,0,7.90406788720025
18853,gefällt,älflt,0,18.26096312204997
18851,geistern,hexenmerestni,0,21.670408089955647
9673,laute,uebta,0,12.795400513543022
9674,todtenbaar,mordalrat,0,9.053117275238037
18846,schellt,degl,0,10.090050909254286
18843,wehrt,grätefh,0,15.503402180141872
9680,geist,etims,0,11.386726220448812
18839,judasfeuer,eerryf,0,19.747208065456814
18836,gestehen,geshhence,0,10.712970627678764
18810,kurd,duwr,0,13.317993799845377
9702,streiter,weitre,0,10.134018898010254
18776,befiehlt,sipelt,0,10.628830115000406
18771,zelle,sletle,0,8.545625686645508
9721,flor,lorver,0,10.721981631384956
9723,narcissen,ausgerisesn,0,5.708903259701199
