,word1,word2,rhyme
0,reisen,besserung,0
1,fü,auffgezogen,0
2,weib,werde,0
3,kan,lebens,0
4,gern,geglaubt,0
5,sey,wohlgefällt,0
6,wette,gesicht,0
7,gebracht,hand,0
8,zierde,schauet,0
9,auffenthalt,leichen,0
10,geben,dichterglut,0
11,uberflu,höh,0
12,wenig,gäste,0
13,sticht,hitze,0
14,fliesset,wortethau,0
15,zirpt,mehr,0
16,rechte,aus,0
17,sprach,bitt,0
18,gesetzt,gemahl,0
19,muth,ziert,0
20,bin,geben,0
21,schön,gedanken,0
22,wagen,rütteln,0
23,brust,mag,0
24,langen,todtenkron,0
25,brust,hin,0
26,leben,mund,0
27,erkennen,säffte,0
28,sinnen,stunden,0
29,zinn,linde,0
30,thun,kräncket,0
31,eitelkeit,ergeben,0
32,besuchen,weit,0
33,entziehet,morgenthau,0
34,munde,nur,0
35,ratten,flattern,0
36,welt,bücken,0
37,ross,rasenbank,0
38,bezeugten,an,0
39,nichts,fragt,0
40,behalten,nicht,0
41,schreck,subalterne,0
42,finsternisse,verstreichen,0
43,schmerzerrettern,sarg,0
44,grüen,mund,0
45,zier,trabanten,0
46,todt,geblieben,0
47,verliert,wagen,0
48,entschlief,gemacht,0
49,grüssen,obgesiegt,0
50,hat,groll,0
51,legt,meeresstrand,0
52,dran,burg,0
53,weit,doch,0
54,mehr,wehen,0
55,born,abeweisen,0
56,armen,ich,0
57,erqvickt,ruh,0
58,an,erde,0
59,benjamin,vatermord,0
60,rüebe,gut,0
61,gabe,lust,0
62,mann,findt,0
63,mu,nimmt,0
64,nah,füen,0
65,verbitten,auen,0
66,getragen,bund,0
67,schätze,herum,0
68,post,gekommen,0
69,stehn,gepflogen,0
70,war,blut,0
71,staub,nachgeweint,0
72,an,heucheleyen,0
73,frey,gläntzet,0
74,beugt,loyola,0
75,dräut,verlangen,0
76,mitten,köpfe,0
77,lichtgestalt,abendkleide,0
78,gnadenort,scheid,0
79,sparen,haar,0
80,saft,staat,0
81,ast,auszubreiten,0
82,meyne,dünken,0
83,hirtenstab,beginnt,0
84,nicht,sehn,0
85,schatz,du,0
86,ruhm,dir,0
87,gleiten,meeresdeich,0
88,erfasst,handeln,0
89,getaufft,erkennt,0
90,gras,behende,0
91,fehle,herrn,0
92,gewesen,sey,0
93,blinkt,gesang,0
94,auen,erhitzt,0
95,versehn,nicht,0
96,hangen,erschrack,0
97,spricht,ehrt,0
98,geben,bluts,0
99,raum,heist,0
100,qual,werde,0
101,dampfen,wach,0
102,thron,an,0
103,mehr,verliebt,0
104,rasenbank,ball,0
105,läutern,golde,0
106,seelenwerber,liebet,0
107,verstecken,gleitet,0
108,gescheuet,dort,0
109,rasen,dicht,0
110,lang,specht,0
111,geschlechte,alten,0
112,vor,gekleidet,0
113,vergeht,thust,0
114,bezahlt,weste,0
115,spezerei,tausenden,0
116,auf,zunge,0
117,ach,thal,0
118,tod,neuerwacht,0
119,klüffte,an,0
120,herab,himmel,0
121,mag,könnt,0
122,getroffen,tugendgaben,0
123,gewaschen,lilgen,0
124,fest,bang,0
125,wangen,geleget,0
126,vorrathskammern,sicherheit,0
127,mag,blum,0
128,gelidten,siege,0
129,leier,erweitert,0
130,sage,verzeihe,0
131,sein,ihr,0
132,gerne,trautgesell,0
133,nicht,eilen,0
134,glück,euchziehen,0
135,geister,hörner,0
136,verlangen,bleiben,0
137,streifen,runde,0
138,gönnt,augenstrahl,0
139,reisehut,vorüberfliehn,0
140,herzu,heilen,0
141,wust,erwählen,0
142,schwendi,bereit,0
143,last,canaan,0
144,arme,gesorgt,0
145,gabe,sinnen,0
146,schacht,wüstenei,0
147,schmertze,todt,0
148,gethan,schweigen,0
149,setzen,mann,0
150,begegnet,betrübt,0
151,schein,ruhm,0
152,fand,umschleiert,0
153,liebst,hören,0
154,grüen,knie,0
155,himmel,wogen,0
156,verflucht,freudentag,0
157,gericht,fu,0
158,erhalten,stern,0
159,abgemetzt,bezeugen,0
160,ausschreyen,siegen,0
161,fantasey,kartenspiel,0
162,schaden,machen,0
163,ergiebet,machen,0
