,word1,word2,rhyme,distance
6685,verbannet,augespanetn,0,18.457992023891872
6686,zwingen,drinneg,0,11.445454756418863
24313,erwehret,gekehert,0,11.903202692667643
24312,sorgen,freudenmorgen,0,7.6112242804633246
6687,muth,tgu,0,15.937497562832302
24333,ergetze,netze,0,5.885779963599311
6674,scheinen,weinen,0,5.490391201443142
6673,gekommen,vorgeomnemk,0,15.805928230285645
6672,fang,strnga,0,11.716270976596409
6662,speit,seti,0,22.985768212212456
24355,amt,atmmts,0,18.228671391805012
6663,aeugelein,ein,0,6.8080638779534235
24353,reihn,wein,0,3.5316317876180015
24352,ach,cha,0,15.73789808485243
24350,erkenntni,gestänind,0,17.45243051317003
6666,jugendtage,wunderaesg,0,17.350223223368328
24406,wangen,pganner,0,11.381212128533257
24346,vergnügen,fügen,0,6.771873209211561
24344,verzehrt,behtercs,0,12.991718610127768
24343,bescheidenheit,ewigkeit,0,6.097614341311985
24342,bestehn,vrhgnee,0,13.868120193481445
6668,haus,asu,0,22.84978527492947
6669,wein,ein,0,6.558564292060004
6670,schütte,hütte,0,6.451914840274387
24338,brennt,rtentn,0,16.986961788601345
24345,schaal,rmoal,0,7.153009944491917
24627,ihr,hire,0,8.803370687696669
24629,maienflur,nratu,0,17.763321240743
6518,dann,arnhe,0,13.851332028706869
6371,vermaledeiet,zeäkrteu,0,11.800501929389107
24905,erden,werend,0,12.638633357154
24904,hernieder,gliered,0,15.178699758317736
6372,hoffen,ffone,0,16.58178859286838
24902,leiden,neidne,0,16.636759969923233
24901,thor,rov,0,16.776314947340225
24898,thu,uz,0,22.712015363905167
24897,scheiben,tbrneie,0,14.713926686180962
6375,marcipille,stilel,0,7.663057963053386
24895,widerspizen,sizne,0,11.603961891598171
24894,zechen,hencze,0,13.659971978929308
24893,gefällt,ewtl,0,8.207857449849447
6376,spiegel,siegle,0,9.148962391747368
6377,meer,her,0,5.729070504506429
6381,ruthen,ngtue,0,16.533240000406902
6369,fliehen,zieenh,0,11.914961285061306
24886,purpurröthen,flötne,0,12.677456008063423
24910,vermessenheit,höllieendl,0,13.130370881822374
24912,pflicht,ntihc,0,17.174808502197266
6357,begleiten,stinrete,0,18.147141032748753
24930,nachtigallen,erscllaehn,0,8.15983804066976
6358,sonnenblicke,kügecl,0,9.417733404371473
24927,schmählige,unzehlieg,0,17.714826795789932
24925,drängen,zerspgnreen,0,8.011955155266655
6361,muth,tuth,0,7.204090966118707
24923,könnt,vergönnt,0,6.354240364498562
6363,reich,zuglehci,0,17.938227123684353
6364,westen,bestne,0,12.301401191287571
24918,schleuder,sammetkeedrli,0,17.13474437925551
24917,sinn,inb,0,17.9901794857449
6366,wort,fort,0,6.064284801483154
24915,kind,geschwdin,0,10.183723979526096
24914,verjüngen,gsnnie,0,16.835343572828506
24913,alt,labd,0,18.02804003821479
6367,schweigen,eineg,0,14.946265273623997
6354,adlerschwingen,isegnn,0,8.600823243459066
24885,dahin,hewign,0,8.030260536405775
24883,nacht,verdatch,0,14.881982061598036
24855,ist,küsst,0,6.794135040707058
24853,mich,dich,0,6.225725385877821
24852,hören,ehren,0,4.333941433164808
24849,begehren,verzehrne,0,12.386340300242106
24848,erdenkönig,weign,0,19.073300255669487
6402,fliesset,ergiesset,0,5.551457246144612
24846,ruhekammer,jamrme,0,9.661076227823893
24845,hinaus,arsgu,0,24.76282861497667
6403,fliegt,liget,0,17.671207427978516
24842,könte,zertrenten,0,22.818847868177627
6405,dumm,mu,0,11.150561756557888
6406,schein,ine,0,14.296645164489746
6407,verklang,entlang,0,4.663710726632012
24838,pein,stine,0,15.148339165581596
6409,korsaren,geearwnh,0,13.782164679633247
6398,beweget,peltfge,0,9.559658580356174
24884,schlank,krank,0,7.5776172743903265
24857,aufgegangen,sprangne,0,12.845671865675184
6397,blitzet,versptirzet,0,7.600019878811306
6382,traun,bruna,0,15.702831162346733
6385,leben,heenb,0,17.24635187784831
24878,leuchtet,hingefeuchtte,0,9.040668646494547
24877,abendroth,abendbort,0,14.81001811557346
24875,sucht,fluhtc,0,24.07628017001682
6387,klüfte,grüfet,0,12.12359364827474
24873,vier,ird,0,11.31808450486925
24872,seyn,seny,0,21.276784472995335
6388,kind,gtienns,0,10.654486020406088
6391,gebauet,vertrateu,0,11.251950316958958
24866,geben,leben,0,4.66600669754876
