word1,word2,rhyme
zwingen,gewi,0
blut,wohlgemut,1
thränen,sehnen,1
morgestern,gern,1
strau,einigkeit,0
entgegen,legen,1
leide,dicht,0
gesang,harfenklang,1
antreten,bricht,0
erschrecket,erwecket,1
tod,biegen,0
unterthan,an,1
us,chund,0
verbinden,mein,0
fort,grabe,0
stengeln,geschätzet,0
mond,belohnt,1
haare,bahre,1
sol,vol,1
trauer,fülle,0
spektakel,geschrei,0
meister,geister,1
blicke,hin,0
trog,meh,0
mied,begraben,0
vernommen,kommen,1
dom,verwandt,0
bier,letzt,0
eingescharret,gemacht,0
handelt,güte,0
beil,strecken,0
zetergeschrei,herbei,1
verliern,zu,0
flehten,zanke,0
mut,nach,0
her,drauf,0
gewitterreich,gleich,1
nach,ungemach,1
geld,gold,0
aehren,blühet,0
dein,seyn,1
nacht,freuden,0
plage,ruh,0
beschien,werden,0
seht,nichts,0
laube,liebe,0
glauben,berauben,1
sind,saamenstreun,0
geworden,gemacht,0
gelegt,bewegt,1
erwerben,mündelein,0
fehlet,wunderzeichen,0
kälber,sachen,0
drücken,bücken,1
will,dich,0
posament,belieben,0
zier,vermischen,0
ma,herz,0
gust,eigen,0
entfernen,erlernen,1
wunder,itzunder,1
hin,ergeben,0
tagt,verbotenfragt,1
fast,hast,1
käyserswürde,bürde,1
menschenfreund,leid,0
zu,lassen,0
nachtigall,spihlen,0
seyn,sehn,0
eilen,ermessen,0
stünde,sünde,1
geblüt,mehr,0
sang,klang,1
geist,fortgereist,1
schützt,blitzt,1
schmücken,entzücken,1
geschehen,gesehen,1
herzen,zugesellt,0
himmelspracht,nacht,1
plackerei,gebären,0
nach,ungemach,1
fliegen,silberweiss,0
reisen,vergist,0
ziege,gnüge,1
fu,hand,0
geboren,erkoren,1
fühlet,erzielet,1
sich,eingefunden,0
dietirte,verirte,1
geben,sollt,0
wehet,bestehet,1
an,unterthan,1
seyn,wein,1
gehört,beschehrt,1
rest,vermählungsfest,1
leiden,gestürtzet,0
ziehlt,spielt,1
flammen,verdammen,1
gulden,da,0
hat,lebenspfad,1
sebeln,schnäbeln,1
feld,nacht,0
frühlingstag,gönnt,0
bald,livrei,0
tönen,schönen,1
singen,erreichen,0
hochaltar,trallen,0
bluth,ruht,1
rubinen,jesminen,1
regen,see,0
druf,uf,1
sehn,zeigen,0
gesungen,hören,0
thron,wonne,0
diplom,rom,1
seyn,ein,1
ein,seelenpein,1
grimme,stimme,1
vorn,dorn,1
blühen,entfliehen,1
zahn,an,1
nur,todtenuhr,1
bereit,leid,1
priese,wiese,1
