word1,word2,rhyme
schier,ihr,1
liegt,fluges,0
speisen,korn,0
finsternü,begehen,0
gebrochen,gesund,0
alltäglich,unerträglich,1
hand,brand,1
thermopilä,gefröhnt,0
gewiesen,euch,0
schleier,glühn,0
stürzt,atalante,0
nebenbei,sei,1
geweide,seide,1
heist,für,0
unbeglückt,werden,0
umfangen,erdenstrome,0
beschawet,grawet,1
polacken,schwung,0
tagesregel,segel,1
verzweifelung,stimme,0
sinn,dahin,1
nach,schlaffgemach,1
geziert,führt,1
dich,wellenleben,0
memme,klemme,1
aus,haus,1
morgenlicht,gleitet,0
bin,befreyt,0
sei,kraft,0
bergesschlunde,rächen,0
dir,flanken,0
an,erbarmen,0
nicht,spricht,1
gleiten,schalen,0
erwache,lust,0
amalien,klaggetöne,0
unvergeben,bringet,0
pein,ungelücke,0
leben,scheide,0
geruht,gut,1
offen,hoffen,1
dran,verpflichten,0
vorn,flehen,0
zünden,stehn,0
vergeben,leben,1
auzuspähn,gesehn,1
an,gethan,1
knechte,rechte,1
mehr,gesöllen,0
worte,orte,1
bange,lange,1
welt,mann,0
sagen,hat,0
an,kan,1
sarg,barg,1
sorgen,geborgen,1
vergnügen,betriegen,1
haft,saft,1
fein,hurre,0
fühlte,weh,0
jüngerinhwir,mähren,0
schale,schach,0
kokette,bette,1
gestehen,gehen,1
tiefblauen,duftigklar,0
pein,dränge,0
seyn,allein,1
eichen,gefühl,0
slaven,sclaven,1
wein,tonnen,0
ha,guten,0
gefällt,sinn,0
geben,leben,1
geniesen,gebricht,0
erhellen,rein,0
gewinnen,auch,0
mich,sich,1
threnenrinnen,sinnen,1
fürwahr,gar,1
toben,droben,1
man,gesang,0
leben,tagen,0
jugendodem,jenes,0
fahren,sand,0
seyn,bin,0
birkenhain,vögelein,1
geschwungen,umschlungen,1
ergeben,leben,1
nun,thun,1
schäfermagd,entsprungen,0
jugend,gezogen,0
steht,scheinen,0
vergnügen,gefehlet,0
ehen,schäferauen,0
schar,war,1
wein,seyn,1
schmerzensklängen,gesängen,1
erwachte,lachte,1
morgenstunde,munde,1
zeugen,gilt,0
rosten,für,0
ende,hände,1
froh,genossen,0
maa,viel,0
rain,hain,1
dich,dich,1
herbei,getreu,1
mehr,freuden,0
bewahren,erfahren,1
apfelsinen,apfelsinen,1
schein,verleihn,1
schertzen,hertzen,1
gesungen,zungen,1
friedensföhren,grollen,0
schwellen,erhellen,1
decket,schmecket,1
ruht,mitternacht,0
bäumen,träumen,1
sterben,vorher,0
ziehen,gediehen,1
leichenhöle,betrübt,0
brechen,darvon,0
ein,seyn,1
vereint,veralten,0
zieht,klagen,0
erfüllt,häle,0
schmerzen,erblickt,0
paradieseswelt,paradieseswelt,1
genad,erwurbe,0
hinnen,gaben,0
munde,todtenschrein,0
selber,kälber,1
rest,wenigbritten,0
mühn,grün,1
nicht,erkohren,0
mitte,verwandt,1
an,gethan,1
geleiert,feiert,1
fühlt,empfangen,0
geschah,überschatten,0
nun,leben,0
ie,wieder,0
schulgelehrten,ehrten,1
grund,gesund,1
beide,gunst,0
garben,pflicht,0
lust,brust,1
angeflogen,bogen,1
warum,stumm,1
da,zugehört,0
schwerdt,gangen,0
klagen,getragen,1
krähn,nicht,0
ausgespien,beschneyte,0
blo,moos,1
begrüsst,findet,0
weh,finden,0
reu,verrat,0
gesehn,geschehn,1
blitzt,schützt,1
frey,hexenmeistern,0
gold,lebensfaden,0
nicht,sicht,1
drein,racheschrein,1
meyne,deine,1
lust,liljenbrust,1
züge,kennen,0
suchen,buchen,1
psalliren,verspüren,1
getichte,vergessen,0
verdungen,gesprungen,1
liebesgunst,lindern,0
wahn,myrtill,0
schwäntzt,treiben,0
nicht,gold,0
gehöhnet,nicht,0
lachen,machen,1
mein,sein,1
rein,nein,1
unverstand,gewand,1
schulmeister,itaque,0
lachen,sonnenschein,0
licht,weben,0
traum,raum,1
erweist,quälet,0
ein,allein,1
säh,bei,0
nachzuschleichen,fliegt,0
erwarmt,angetraut,0
kan,sich,0
zeigen,umgewand,0
geistsgefahr,glaubenskampf,0
gemein,sterne,0
mund,gesund,1
versprühen,durchmessen,0
geneigt,allemal,0
empfängt,setzen,0
abgebrannt,gekannt,1
ohngefehr,her,1
cypressen,vergessen,1
ansticht,obsiegen,0
jahre,haare,1
oel,seel,1
bald,ergeben,0
vernichtet,gesichtet,1
bin,hin,1
augenblicke,zurücke,1
gesund,mund,1
freudenplatz,ergeben,0
stehn,hinnen,0
allesüberwinder,schlimmer,0
zahl,sclavenmal,1
zugegen,legen,1
heim,finden,0
lust,brust,1
marmortreppe,purpurschleppe,1
fischereyen,ziehen,0
wunden,drein,0
erkennt,brennt,1
kan,wetterhahn,1
gmerkt,witt,0
schöne,söhne,1
freund,bescheint,1
ku,mu,1
vermessen,hau,0
welt,helt,1
kerzenhelle,schwelle,1
herzgeselle,mein,0
bewust,sommerlust,1
blüthenranken,umlaubt,0
führet,lufft,0
sich,ohren,0
gra,haben,0
leben,geben,1
genug,nennen,0
demselbentrauet,augenschauet,1
versprochen,angebroche,1
tod,noth,1
student,verwachte,0
brief,heraus,0
ort,friedensport,1
doch,lust,0
jeder,kämmerer,0
schlief,rief,1
umschlingen,blind,0
röhr,mehr,1
drauff,warte,0
schlug,trug,1
heid,freud,1
du,zu,1
tage,plage,1
tantz,glantz,1
schätzen,schmätzen,1
herab,steigen,0
destomehr,wieder,0
blüht,erdenmängel,0
eisen,weisen,1
lang,erkenntni,0
wiederkehrte,wehrte,1
gipfelblühen,ziehen,1
zuletzt,gebe,0
besessen,bestatten,0
wehrt,frauen,0
strahlen,thor,0
finden,aus,0
blut,ein,0
stand,land,1
haab,gab,1
hertzenquälen,lust,0
wahlt,breit,0
brunst,mindern,0
pocus,fühlte,0
vergist,reisen,0
weich,glut,0
mir,dir,1
spott,belohnen,0
aus,trauet,0
schatten,kälter,0
ergreiffen,mich,0
siht,zornerbitzen,0
daher,schlummerschwer,1
licht,gewinnen,0
