schier	ihr	y
liegt	fluges	n
speisen	korn	n
finsternü	begehen	n
gebrochen	gesund	n
alltäglich	unerträglich	y
hand	brand	y
thermopilä	gefröhnt	n
gewiesen	euch	n
schleier	glühn	n
stürzt	atalante	n
nebenbei	sei	y
geweide	seide	y
heist	für	n
unbeglückt	werden	n
umfangen	erdenstrome	n
beschawet	grawet	y
polacken	schwung	n
tagesregel	segel	y
verzweifelung	stimme	n
sinn	dahin	y
nach	schlaffgemach	y
geziert	führt	y
dich	wellenleben	n
memme	klemme	y
aus	haus	y
morgenlicht	gleitet	n
bin	befreyt	n
sei	kraft	n
bergesschlunde	rächen	n
dir	flanken	n
an	erbarmen	n
nicht	spricht	y
gleiten	schalen	n
erwache	lust	n
amalien	klaggetöne	n
unvergeben	bringet	n
pein	ungelücke	n
leben	scheide	n
geruht	gut	y
offen	hoffen	y
dran	verpflichten	n
vorn	flehen	n
zünden	stehn	n
vergeben	leben	y
auzuspähn	gesehn	y
an	gethan	y
knechte	rechte	y
mehr	gesöllen	n
worte	orte	y
bange	lange	y
welt	mann	n
sagen	hat	n
an	kan	y
sarg	barg	y
sorgen	geborgen	y
vergnügen	betriegen	y
haft	saft	y
fein	hurre	n
fühlte	weh	n
jüngerinhwir	mähren	n
schale	schach	n
kokette	bette	y
gestehen	gehen	y
tiefblauen	duftigklar	n
pein	dränge	n
seyn	allein	y
eichen	gefühl	n
slaven	sclaven	y
wein	tonnen	n
ha	guten	n
gefällt	sinn	n
geben	leben	y
geniesen	gebricht	n
erhellen	rein	n
gewinnen	auch	n
mich	sich	y
threnenrinnen	sinnen	y
fürwahr	gar	y
toben	droben	y
man	gesang	n
leben	tagen	n
jugendodem	jenes	n
fahren	sand	n
seyn	bin	n
birkenhain	vögelein	y
geschwungen	umschlungen	y
ergeben	leben	y
nun	thun	y
schäfermagd	entsprungen	n
jugend	gezogen	n
steht	scheinen	n
vergnügen	gefehlet	n
ehen	schäferauen	n
schar	war	y
wein	seyn	y
schmerzensklängen	gesängen	y
erwachte	lachte	y
morgenstunde	munde	y
zeugen	gilt	n
rosten	für	n
ende	hände	y
froh	genossen	n
maa	viel	n
rain	hain	y
dich	dich	y
herbei	getreu	y
mehr	freuden	n
bewahren	erfahren	y
apfelsinen	apfelsinen	y
schein	verleihn	y
schertzen	hertzen	y
gesungen	zungen	y
friedensföhren	grollen	n
schwellen	erhellen	y
decket	schmecket	y
ruht	mitternacht	n
bäumen	träumen	y
sterben	vorher	n
ziehen	gediehen	y
leichenhöle	betrübt	n
brechen	darvon	n
ein	seyn	y
vereint	veralten	n
zieht	klagen	n
erfüllt	häle	n
schmerzen	erblickt	n
paradieseswelt	paradieseswelt	y
genad	erwurbe	n
hinnen	gaben	n
munde	todtenschrein	n
selber	kälber	y
rest	wenigbritten	n
mühn	grün	y
nicht	erkohren	n
mitte	verwandt	y
an	gethan	y
geleiert	feiert	y
fühlt	empfangen	n
geschah	überschatten	n
nun	leben	n
ie	wieder	n
schulgelehrten	ehrten	y
grund	gesund	y
beide	gunst	n
garben	pflicht	n
lust	brust	y
angeflogen	bogen	y
warum	stumm	y
da	zugehört	n
schwerdt	gangen	n
