,text,rhyme,problem,file
0,"['ich fürcht es ist zu hoch doch besser hochgestiegen', 'als unversucht zur erde liegen', 'ein hochgethaner fall weist doch ein kühnes wagen', 'manch vorsatz mu zurücke schlagen', 'das glücke stöst dem der es sucht zu handen', 'wer ihm nicht traut wird ohne ruhm zu schanden']",aabbcc,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
1,"['es höre der herr dein klagen in noth', 'es schütze dich jacobs gewaltiger gott', 'er sende dir hülffe vom heiligen thron', 'und labsal und stärcke vom berge zion', 'er dencke genädig an dein geschrey', 'dein opffer der lippen ihm angenehm sey', 'er gebe dir was dein hertze begehrt', 'und mache dein christliches wünschen gewehrt', 'damit du nach selig vollendeter zeit', 'ihn lobest und rühmest in ewigkeit']",aabbccddee,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
2,"['mit worten wird der feind vergebens angegriffen', 'wo nicht die waffen auch von seinem blutte trieffen']",aa,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
3,"['so steiget und fällt', 'die ehre das glücke der welt']",abca,2,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
4,"['rosen blühn auff deinen wangen', 'liljen führt die stirne mit', 'aber den der nahe tritt', 'stechen dornen bienen schlangen']",abba,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
5,"['weil uns noch die jahre günnen', 'zu genüssen unsrer zeit', 'so lasst keinen tag verrinnen', 'kinder sonder fröligkeit', 'lasst uns leben wohl vergnügt', 'weil es zeit und glücke fügt']",ababcc,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
6,"['geht in matten auff und nieder', 'schaut die bunten heerden an', 'wie dem bocke wie dem widder', 'schaf und geie liebeln kan', 'lebet so wie sie vergnügt', 'weil es zeit und glücke fügt']",ababcc,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
7,"['traurigkeit heilt keine wunden', 'füllt den leeren säckel nicht', 'brauchet eurer jugend stunden', 'eh den mutt das alter bricht', 'lebet so mit uns vergnügt', 'wie es zeit und glücke fügt']",ababcc,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
8,"['mein glücke lacht', 'melinde spielt mit angenehmen blicken', 'ihr holder mund giebt worte die entzücken', 'ich küsse sie bey tunckler mitternacht', 'mein glücke lacht']",abbaa,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
9,"['mir traumt wohl nicht', 'ich seh ihr bild um meine ruhstatt spielen', 'hör ihre sprach und misse nichts als fühlen', 'ach schade da das beste noch gebricht', 'mir traumt wohl nicht']",abbaa,0,<_io.TextIOWrapper name='rhyme_corpus\\Abschatz_HansAssmannvon_1704_gold_p50_s95_TEI-P5.xml' mode='r' encoding='utf-8'>
